"","T_MAPCODE","inv_deg","sum_IAT","sumrem_aoi","sum_aoi","sumrem_sa","prop_rem_aoi","prop_inv","D3test","YEAR"
"88","FFs28",1,64.9826,3696.1329,4051.3344,3696.5036,0.999899716045184,0.0175794769955046,"LC",2023
"89","FFs3",1,2.6302,469.3664,498.2564,469.3428,1.00005028307668,0.00560400628282782,"LC",2023
"90","FFs30",1,0.0011,37.4828,37.5275,37.4804,1.00006403346816,0.0000293486729063724,"LC",2023
"91","FFs31",1,0.0063,50.7828,50.8279,50.79,0.999858239810986,0.000124040165386887,"LC",2023
"92","FFs32",1,0.0154,352.4016,545.641,354.3128,0.994605896258899,0.0000434644190105466,"LC",2023
"93","FFs4",1,0.9827,2232.6207,2523.6296,2232.7588,0.999938148267515,0.000440128149981986,"LC",2023
"94","FFs5",1,10.0755,1050.893,1135.9754,1051.0576,0.999843395832921,0.00958605884206536,"LC",2023
"95","FFs6",1,2.7611,370.6569,422.8658,370.706,0.999867550026166,0.00744822042265299,"LC",2023
"96","FFs7",1,2.7296,371.0935,394.0943,371.0828,1.00002883453504,0.00735577073364759,"LC",2023
"97","FFs8",1,4.2379,315.7601,319.7413,315.7336,1.00008393151695,0.0134223915351423,"LC",2023
"98","FFs9",1,8.2426,201.1825,216.2685,203.276,0.989701194435152,0.0405488104842677,"LC",2023
"99","FFt1",1,3.1737,395.7531,404.9644,395.7416,1.00002905936601,0.00801962694849366,"LC",2023
"100","FFt2",1,2.4267,181.0591,210.5607,181.5708,0.997181815578276,0.0133650344658943,"LC",2023
"101","FOz1",1,20.4654,630.5673,785.8241,632.212,0.997398499237598,0.0323711033640614,"LC",2023
"102","FOz6",1,2.2057,131.9692,160.5835,150.9288,0.874380502594601,0.0146141756907893,"LC",2023
"103","FRa1",1,6.4544,174.4293,497.6709,174.4068,1.00012900873131,0.0370077313499244,"LC",2023
"104","FRa2",1,0.4784,36.4625,63.0702,36.5332,0.998064773959029,0.0130949383026945,"LC",2023
"105","FRc1",1,0.2382,12.7705,101.0546,12.802,0.997539446961412,0.0186064677394157,"LC",2023
"106","FRc2",1,2.6733,28.3007,209.2108,28.494,0.993216115673475,0.0938197515266372,"LC",2023
"107","FRg2",1,9.681,153.8199,951.3109,153.8836,0.999586050755246,0.0629111874169827,"LC",2023
"108","FRg3",1,2.0373,18.8303,19.1719,18.8332,0.999846016608967,0.108175987086634,"LC",2023
"109","FRl1",1,5.2813,432.6564,501.6514,432.6812,0.999942682973053,0.0122059844522942,"LC",2023
"110","FRs10",1,0.22,2.4697,24.4423,2.5132,0.982691389463632,0.0875378004138151,"LC",2023
"111","FRs11",1,26.8607,152.9654,1193.6587,153.0492,0.999452463652211,0.175503694236886,"LC",2023
"112","FRs12",1,27.3072,194.3202,2025.964,195.7052,0.992923029127484,0.139532316974715,"LC",2023
"113","FRs13",1,44.6749,395.5108,2759.2293,397.7656,0.994331334836396,0.112314639576675,"LC",2023
"114","FRs14",1,57.6086,326.3223,866.0803,326.5452,0.999317399245189,0.176418456005478,"LC",2023
"115","FRs15",1,0.6107,264.2451,276.3975,264.244,1.00000416281921,0.00231112153918348,"LC",2023
"116","FRs16",1,6.1175,1103.8974,1347.6912,1104.1168,0.999801289138975,0.00554062758577716,"LC",2023
"117","FRs17",1,12.3134,64.223,207.1418,64.1688,1.0008446472429,0.191890763112291,"LC",2023
"118","FRs18",1,0.0358,118.677,118.7242,118.6764,1.00000505576509,0.000301660650306211,"LC",2023
"119","FRs19",1,3.8485,155.918,372.9174,155.8908,1.00017448111114,0.0246871528018331,"LC",2023
"120","FRs20",1,0.2239,11.4356,46.9986,11.4372,0.999860105620257,0.0195764697653272,"LC",2023
"121","FRs4",1,2.7638,211.4333,491.7556,211.3784,1.00025972379392,0.0130751297199714,"LC",2023
"122","FRs6",1,0.5837,1787.9086,2073.3363,1809.988,0.987801355589098,0.000322488325889453,"LC",2023
"123","FRs7",1,2.2232,1293.6845,1607.8968,1293.4608,1.00017294687245,0.00171879967293945,"LC",2023
"124","FRs8",1,16.5664,616.4918,1049.801,616.4812,1.00001719436051,0.0268725145227462,"LC",2023
"125","FRs9",1,17.3431,486.7231,4963.7621,486.2376,1.00099848304615,0.0356679532804538,"LC",2023
"126","FS1",1,0.0253,234.7343,353.0132,235.792,0.995514266811427,0.000107297957521884,"LC",2023
"127","FS10",1,70.4493,287.189,300.682,305.542,0.93993297157183,0.23057157444803,"LC",2023
"128","FS11",1,15.4251,39.4457,39.5979,39.448,0.999941695396471,0.391023626039343,"LC",2023
"129","FS12",1,0.0017,75.8647,99.359,91.0064,0.833619393800876,0.0000186800049227307,"LC",2023
"130","FS13",1,0.0237,33.0994,38.766,35.1444,0.941811497706605,0.000674360637825656,"LC",2023
"131","FS2",1,0.2659,75.64,294.9922,78.3044,0.965973815009118,0.00339572233488795,"LC",2023
"132","FS3",1,3.9039,578.4607,1637.0605,580.8488,0.995888603023713,0.00672102619476876,"LC",2023
"133","FS4",1,0.08,48.9563,60.9051,49.5296,0.988425103372529,0.00161519576172632,"LC",2023
"134","FS5",1,6.2129,286.7663,336.4457,293.0008,0.978721901100611,0.021204378964153,"LC",2023
"135","FS6",1,7.5639,177.1103,389.1908,183.1524,0.967010533304505,0.0412983941242375,"LC",2023
"136","FS7",1,9.0279,27.8277,36.1129,37.4948,0.742174914921536,0.240777387797775,"LC",2023
"137","FS9",1,1.7974,10.9037,25.6358,12.3604,0.882147826931167,0.1454160059545,"LC",2023
"138","SKk7",1,0.0295,130.8684,185.2044,130.8612,1.0000550201282,0.000225429691917849,"LC",2023
"139","SKs7",1,0.0023,410.2103,937.4816,2540.0112,0.161499405986871,0.000000905507818233242,"LC",2023
"140","SKv1",1,0.0078,448.0102,540.7213,447.9824,1.00006205600934,0.0000174113983049334,"LC",2023
"141","SKv10",1,0.0045,226.2924,240.1444,226.2656,1.00011844487187,0.0000198881314702721,"LC",2023
"142","SKv11",1,0.1391,1369.0351,1578.4969,1369.166,0.999904394353935,0.000101594693411902,"LC",2023
"143","SKv13",1,0.0056,509.2519,530.4816,2513.968,0.202568966669425,0.00000222755420912279,"LC",2023
"144","SKv14",1,0.0086,769.2371,793.3241,769.2448,0.999989990182579,0.0000111797960805195,"LC",2023
"145","SKv2",1,0.0003,548.4316,550.5877,557.15,0.984351790361662,0.000000538454635196985,"LC",2023
"146","SKv5",1,0.0006,470.5006,486.3367,6923.8212,0.0679538922813316,0.0000000866573504237804,"LC",2023
"147","SKv7",1,0.4503,496.293,653.3586,496.252,1.00008261931438,0.00090740188452641,"LC",2023
"148","SKv8",1,0.0378,3931.7725,4109.02,3931.7928,0.99999483696089,0.0000096139348950433,"LC",2023
