"","nlc2022_7class","T_MAPCODE","n"
"446","5","AZa6",626683
"447","6","AZa6",1471
"448","7","AZa6",29471
"449","8","AZa6",14069
"450","NaN","AZa6",0
"451","1","AZa7",2136138
"452","2","AZa7",199748
"453","3","AZa7",59433
"454","4","AZa7",39330
"455","5","AZa7",709113
"456","6","AZa7",4630
"457","7","AZa7",54674
"458","8","AZa7",12273
"459","NaN","AZa7",1244
"460","1","AZd1",793
"461","2","AZd1",1448
"462","3","AZd1",166
"463","4","AZd1",0
"464","5","AZd1",0
"465","6","AZd1",13694
"466","7","AZd1",0
"467","8","AZd1",0
"468","NaN","AZd1",0
"469","1","AZd2",23792
"470","2","AZd2",475
"471","3","AZd2",5
"472","4","AZd2",69
"473","5","AZd2",0
"474","6","AZd2",8699
"475","7","AZd2",0
"476","8","AZd2",0
"477","NaN","AZd2",0
"478","1","AZd3",536739
"479","2","AZd3",6028
"480","3","AZd3",324
"481","4","AZd3",6157
"482","5","AZd3",0
"483","6","AZd3",126
"484","7","AZd3",5
"485","8","AZd3",1304
"486","NaN","AZd3",0
"487","1","AZd4",65612
"488","2","AZd4",2037
"489","3","AZd4",31
"490","4","AZd4",1723
"491","5","AZd4",0
"492","6","AZd4",361
"493","7","AZd4",378
"494","8","AZd4",63
"495","NaN","AZd4",54
"496","1","AZi1",2939700
"497","2","AZi1",158397
"498","3","AZi1",4862
"499","4","AZi1",14207
"500","5","AZi1",225274
"501","6","AZi1",5154
"502","7","AZi1",1549
"503","8","AZi1",60619
"504","NaN","AZi1",0
"505","1","AZi3",4785456
"506","2","AZi3",32696
"507","3","AZi3",120
"508","4","AZi3",20592
"509","5","AZi3",287
"510","6","AZi3",265
"511","7","AZi3",248
"512","8","AZi3",1085
"513","NaN","AZi3",2209
"514","1","AZi5",11992825
"515","2","AZi5",374018
"516","3","AZi5",67847
"517","4","AZi5",19929
"518","5","AZi5",420789
"519","6","AZi5",19737
"520","7","AZi5",2570
"521","8","AZi5",44773
"522","NaN","AZi5",0
"523","1","AZi6",11323104
"524","2","AZi6",581220
"525","3","AZi6",111149
"526","4","AZi6",136126
"527","5","AZi6",1074802
"528","6","AZi6",3456
"529","7","AZi6",13145
"530","8","AZi6",14338
"531","NaN","AZi6",0
"532","1","AZi7",4950788
"533","2","AZi7",228982
"534","3","AZi7",15468
"535","4","AZi7",11865
"536","5","AZi7",107505
"537","6","AZi7",487
"538","7","AZi7",1808
"539","8","AZi7",8361
"540","NaN","AZi7",0
"541","1","AZi8",342337
"542","2","AZi8",99947
"543","3","AZi8",3565
"544","4","AZi8",26296
"545","5","AZi8",525366
"546","6","AZi8",255
"547","7","AZi8",3102
"548","8","AZi8",17080
"549","NaN","AZi8",0
"550","1","AZs3",29930
"551","2","AZs3",1454
"552","3","AZs3",10
"553","4","AZs3",821
"554","5","AZs3",2
"555","6","AZs3",0
"556","7","AZs3",199
"557","8","AZs3",0
"558","NaN","AZs3",0
"559","1","CB1",2056691
"560","2","CB1",596282
"561","3","CB1",9071
"562","4","CB1",1008839
"563","5","CB1",494907
"564","6","CB1",29950
"565","7","CB1",1668935
"566","8","CB1",24679
"567","NaN","CB1",110
"568","1","CB2",985825
"569","2","CB2",243413
"570","3","CB2",309
"571","4","CB2",269569
"572","5","CB2",27295
"573","6","CB2",2595
"574","7","CB2",1259565
"575","8","CB2",16804
"576","NaN","CB2",0
"577","1","CB3",1389186
"578","2","CB3",1373683
"579","3","CB3",22380
"580","4","CB3",3426034
"581","5","CB3",3667757
"582","6","CB3",13238
"583","7","CB3",170640
"584","8","CB3",291599
"585","NaN","CB3",0
"586","1","CB4",1538189
"587","2","CB4",510854
"588","3","CB4",2819
"589","4","CB4",298141
"590","5","CB4",604539
"591","6","CB4",4069
"592","7","CB4",226608
"593","8","CB4",64537
"594","NaN","CB4",0
"595","1","CB5",2092101
"596","2","CB5",630462
"597","3","CB5",915
"598","4","CB5",873690
"599","5","CB5",337515
"600","6","CB5",1107
"601","7","CB5",34193
"602","8","CB5",155982
"603","NaN","CB5",0
"604","1","CB6",814471
"605","2","CB6",657793
"606","3","CB6",939
"607","4","CB6",846598
"608","5","CB6",248387
"609","6","CB6",5418
"610","7","CB6",15035
"611","8","CB6",214307
"612","NaN","CB6",0
"613","1","Dg1",832244
"614","2","Dg1",171
"615","3","Dg1",33
"616","4","Dg1",0
"617","5","Dg1",0
"618","6","Dg1",7385
"619","7","Dg1",0
"620","8","Dg1",0
"621","NaN","Dg1",0
"622","1","Dg10",5210115
"623","2","Dg10",7387
"624","3","Dg10",174
"625","4","Dg10",5155
"626","5","Dg10",3168
"627","6","Dg10",10121
"628","7","Dg10",1
"629","8","Dg10",584
"630","NaN","Dg10",0
"631","1","Dg2",903483
"632","2","Dg2",44
"633","3","Dg2",48
"634","4","Dg2",0
"635","5","Dg2",0
"636","6","Dg2",0
"637","7","Dg2",0
"638","8","Dg2",0
"639","NaN","Dg2",0
"640","1","Dg3",391172
"641","2","Dg3",136
"642","3","Dg3",1
"643","4","Dg3",17
"644","5","Dg3",0
"645","6","Dg3",8845
"646","7","Dg3",0
"647","8","Dg3",0
"648","NaN","Dg3",0
"649","1","Dg4",267982
"650","2","Dg4",141
"651","3","Dg4",183
"652","4","Dg4",0
"653","5","Dg4",0
"654","6","Dg4",1193
"655","7","Dg4",0
"656","8","Dg4",0
"657","NaN","Dg4",0
"658","1","Dg5",1479836
"659","2","Dg5",157
"660","3","Dg5",237
"661","4","Dg5",485
"662","5","Dg5",0
"663","6","Dg5",0
"664","7","Dg5",0
"665","8","Dg5",0
"666","NaN","Dg5",0
"667","1","Dg6",20267
"668","2","Dg6",17
"669","3","Dg6",0
"670","4","Dg6",275
"671","5","Dg6",0
"672","6","Dg6",0
"673","7","Dg6",0
"674","8","Dg6",0
"675","NaN","Dg6",0
"676","1","Dg7",610113
"677","2","Dg7",791
"678","3","Dg7",34
"679","4","Dg7",3292
"680","5","Dg7",1144
"681","6","Dg7",2138
"682","7","Dg7",0
"683","8","Dg7",0
"684","NaN","Dg7",0
"685","1","Dg8",857311
"686","2","Dg8",70
"687","3","Dg8",16
"688","4","Dg8",482
"689","5","Dg8",0
"690","6","Dg8",119
"691","7","Dg8",0
"692","8","Dg8",0
"693","NaN","Dg8",0
"694","1","Dg9",2995488
"695","2","Dg9",18413
"696","3","Dg9",38
"697","4","Dg9",18783
"698","5","Dg9",10238
"699","6","Dg9",1597
"700","7","Dg9",254
"701","8","Dg9",164
"702","NaN","Dg9",0
"703","1","Dn1",3383
"704","2","Dn1",1310
"705","3","Dn1",39
"706","4","Dn1",1366
"707","5","Dn1",0
"708","6","Dn1",36634
"709","7","Dn1",0
"710","8","Dn1",0
"711","NaN","Dn1",0
"712","1","Dn2",2525
"713","2","Dn2",230
"714","3","Dn2",0
"715","4","Dn2",0
"716","5","Dn2",0
"717","6","Dn2",1102
"718","7","Dn2",0
"719","8","Dn2",0
"720","NaN","Dn2",0
"721","1","Dn3",306496
"722","2","Dn3",10422
"723","3","Dn3",31
"724","4","Dn3",6343
"725","5","Dn3",0
"726","6","Dn3",26514
"727","7","Dn3",0
"728","8","Dn3",0
"729","NaN","Dn3",0
"730","1","Dn4",486903
"731","2","Dn4",6137
"732","3","Dn4",227
"733","4","Dn4",3831
"734","5","Dn4",2606
"735","6","Dn4",42833
"736","7","Dn4",0
"737","8","Dn4",0
"738","NaN","Dn4",0
"739","1","Dn5",961011
"740","2","Dn5",6644
"741","3","Dn5",280
"742","4","Dn5",4202
"743","5","Dn5",0
"744","6","Dn5",73552
"745","7","Dn5",0
"746","8","Dn5",0
"747","NaN","Dn5",0
"748","1","FFa1",126587
"749","2","FFa1",56498
"750","3","FFa1",19306
"751","4","FFa1",2436
"752","5","FFa1",239118
"753","6","FFa1",23
"754","7","FFa1",375
"755","8","FFa1",5820
"756","NaN","FFa1",0
"757","1","FFa2",323819
"758","2","FFa2",166399
"759","3","FFa2",11637
"760","4","FFa2",48693
"761","5","FFa2",586775
"762","6","FFa2",694
"763","7","FFa2",17556
"764","8","FFa2",98551
"765","NaN","FFa2",0
"766","1","FFa3",269441
"767","2","FFa3",189580
"768","3","FFa3",49394
"769","4","FFa3",92628
"770","5","FFa3",490165
"771","6","FFa3",316
"772","7","FFa3",28303
"773","8","FFa3",73058
"774","NaN","FFa3",0
"775","1","FFa4",8769
"776","2","FFa4",14544
"777","3","FFa4",573
"778","4","FFa4",48928
"779","5","FFa4",12290
"780","6","FFa4",2
"781","7","FFa4",456
"782","8","FFa4",4036
"783","NaN","FFa4",0
"784","1","FFb1",633610
"785","2","FFb1",20053
"786","3","FFb1",2698
"787","4","FFb1",1262
"788","5","FFb1",26917
"789","6","FFb1",20
"790","7","FFb1",1159
"791","8","FFb1",11953
"792","NaN","FFb1",0
"793","1","FFb2",275954
"794","2","FFb2",8616
"795","3","FFb2",147
"796","4","FFb2",119
"797","5","FFb2",2044
"798","6","FFb2",0
"799","7","FFb2",4884
"800","8","FFb2",44563
"801","NaN","FFb2",0
"802","1","FFb3",240780
"803","2","FFb3",130
"804","3","FFb3",31
"805","4","FFb3",69
"806","5","FFb3",145
"807","6","FFb3",0
"808","7","FFb3",52
"809","8","FFb3",3487
"810","NaN","FFb3",0
"811","1","FFb4",109532
"812","2","FFb4",4973
"813","3","FFb4",24
"814","4","FFb4",244
"815","5","FFb4",11040
"816","6","FFb4",0
"817","7","FFb4",3483
"818","8","FFb4",25610
"819","NaN","FFb4",0
"820","1","FFb5",225276
"821","2","FFb5",12627
"822","3","FFb5",293
"823","4","FFb5",611
"824","5","FFb5",17419
"825","6","FFb5",9
"826","7","FFb5",451
"827","8","FFb5",14288
"828","NaN","FFb5",0
"829","1","FFb6",45983
"830","2","FFb6",23760
"831","3","FFb6",1566
"832","4","FFb6",6333
"833","5","FFb6",62226
"834","6","FFb6",28
"835","7","FFb6",28028
"836","8","FFb6",27187
"837","NaN","FFb6",0
"838","1","FFc1",660376
"839","2","FFc1",252270
"840","3","FFc1",3822
