"","T_MAPCODE","niaps_ch1","niaps_ch2","niaps_ch4","niaps_ch3","niaps_ch6","niaps_ch5","niaps_ch7","niaps_ch8","niaps_ch9","niaps_ch10","sum_rem","niaps_ext50","niaps_ext70","niaps_ext90","YEAR"
"189","FRs17",0.8636,1.1388,1.076,0.654,0.1984,0.292,0.6312,0.5608,0.662,2.9644,64.1688,0.140897133809577,0.109691937514805,0.082731794890975,2023
"190","FRs18",0,0.002,0,0,0,0,0,0,0,0,118.6764,0.0000168525502964364,0,0,2023
"191","FRs19",0.8988,2.8556,1.758,0.4728,0.374,0.5548,2.0088,1.1988,0.0308,3.7996,155.8908,0.0894985464183903,0.0654150212841297,0.0511050042722213,2023
"192","FRs2",0.6548,0.3308,0.202,0.0588,0.2004,0.112,0,0,0.1528,0,104.3384,0.0164043151898055,0.00695812855094577,0.00445856942410464,2023
"193","FRs20",0.652,0.036,0.2368,0.0148,0,0,0,0.1052,0,0,11.4372,0.0913510299723709,0.0311964466827545,0.00919805546812157,2023
"194","FRs3",0.2824,4.5348,0.056,0.2628,0,0.4428,0.4684,0.3916,0,0,3148.2664,0.00204518906023963,0.000515077123079546,0.000413815044368545,2023
"195","FRs4",0.3844,0.7736,0.7616,1.0344,0.3064,0.6868,0.3876,0.2252,0.3632,2.1948,211.3784,0.0336742070145294,0.028195879995307,0.0196992691779292,2023
"196","FRs5",0.0088,0.3124,0,0.0724,0.3424,0,0.1836,0.0696,0,0,1199.1376,0.000824926180281562,0.000557067012159405,0.000496690288087039,2023
"197","FRs6",1.1416,0.3284,0.052,0.2392,0.2896,0.2088,0.0792,0.7756,0.0428,0.8844,1809.988,0.00223294298083744,0.00142078290021812,0.00125989785567639,2023
"198","FRs7",0.73,0.7456,0.7912,0.9916,0.5336,0.416,2.1084,1.3296,0.2352,4.3564,1293.4608,0.00946112939796861,0.00832031399791938,0.00694199623212393,2023
"199","FRs8",0.6808,0.7132,0.4904,1.0292,2.2192,1.188,1.5172,2.3856,0.5904,5.0072,616.4812,0.0256637185367534,0.0234024979188335,0.0209375403499734,2023
"200","FRs9",4.5364,8.1356,9.7996,3.094,9.5056,4.5636,7.8976,9.508,2.1344,19.4632,486.2376,0.16172751757577,0.135666184597818,0.109149107349987,2023
"201","FS1",21.9832,5.0632,0.088,0.7156,0.7312,0.3808,0.5804,0,0.008,0,235.792,0.12532401438556,0.0106195290764742,0.00721144059170795,2023
"202","FS10",7.492,30.7836,20.9204,6.1848,6.142,9.136,26.4712,12.1216,1.5116,22.2448,305.542,0.468046946082699,0.342775788598622,0.254063925745069,2023
"203","FS11",0.0004,0.37,0.57,0.1108,0.0052,0,1.142,0.6384,0.1932,1.0196,39.448,0.102656661934699,0.0932670857838167,0.0760089231393227,2023
"204","FS12",2.776,4.9852,8.2808,4.2888,3.902,4.7028,2.1676,1.1448,5.7352,8.026,91.0064,0.50556004852406,0.420278134285061,0.282160375534028,2023
"205","FS13",0,0.092,0.4904,0.3476,0.6184,0.0288,1.0212,0.4808,0.3136,2.9084,35.1444,0.179294567555571,0.176676796303252,0.152832314678868,2023
"206","FS14",0.3548,0.698,8.0508,4.8368,4.2268,0.094,11.9888,8.7044,0.32,14.5836,84.9324,0.634127847558764,0.62173210694623,0.469992605884209,2023
"207","FS2",0.0872,0.066,0.058,0.138,0.12,0.2388,0.0956,0.0424,0,0,78.3044,0.0108039905803505,0.00884752325539816,0.00634447106420584,2023
"208","FS3",10.016,8.8936,9.6444,6.2092,3.8124,2.93,2.0112,0.592,0,0.6544,580.8488,0.0770651501733325,0.0445100342808662,0.017216184315092,2023
"209","FS4",0.062,0,0.0016,0.0184,0.0064,0.0044,0,0.0112,0,0,49.5296,0.00209975449024422,0.000847977774906319,0.000444178834474738,2023
"210","FS5",4.5108,1.8992,4.7784,0.1392,1.2284,1.9628,3.3712,0,0.2708,0.7032,293.0008,0.0643820767724866,0.0425050033993081,0.0257214314773202,2023
"211","FS6",2.6684,11.8532,8.3752,2.1308,5.5316,4.81,2.2612,8.7564,1.2292,38.3768,183.1524,0.46951500499038,0.390228028679941,0.332865962990384,2023
"212","FS7",0.4244,0.9624,3.192,0.7636,0.5908,2.5036,2.5836,0.504,0.7632,5.2964,37.4948,0.468971697408707,0.43198523528596,0.326487939660966,2023
"213","FS9",0.1536,0.6676,0.0916,0,0.2264,0.716,1.2032,0.7388,0.8048,2.5448,12.3604,0.578201352707032,0.511763373353613,0.504352609947898,2023
"214","Gd1",135.092,99.3596,64.9972,26.664,37.0944,30.4812,59.6772,52.4328,14.1888,94.1944,4202.9276,0.146131853425217,0.0903489272572766,0.0685400338564005,2023
"215","Gd10",0,0.0004,0,0,0,0,0,0,0,0,2753.284,0.000000145281053461975,0,0,2023
"216","Gd2",3.452,1.3876,1.6624,0.306,0.3592,0.0084,0.6592,0.3656,0.1968,0.8564,153.586,0.0602502832289401,0.0287395986613363,0.0159233263448491,2023
"217","Gd3",6.2928,10.9968,1.9388,1.5392,2.4368,5.1624,2.5876,0.806,0,0,2409.262,0.0131826260489727,0.00600632060772137,0.00456272501703841,2023
"218","Gd4",21.594,31.2384,32.9816,8.8216,7.0152,15.5556,15.858,8.4052,2.7536,41.3308,5993.8588,0.0309573525489122,0.02214293069433,0.0151685922264302,2023
