"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"1185",8258,2,"FFd11",4747,1.8988,99
"1186",8259,3,"FFd11",167,0.0668,99
"1187",8260,4,"FFd11",3703,1.4812,99
"1188",8261,5,"FFd11",31998,12.7992,99
"1189",8262,6,"FFd11",605,0.242,99
"1190",8263,7,"FFd11",258,0.1032,99
"1191",8265,1,"FFd2",1892389,756.9556,99
"1192",8266,2,"FFd2",862315,344.926,99
"1193",8267,3,"FFd2",3583,1.4332,99
"1194",8268,4,"FFd2",24081,9.6324,99
"1195",8269,5,"FFd2",2350146,940.0584,99
"1196",8270,6,"FFd2",1042,0.4168,99
"1197",8271,7,"FFd2",5596,2.2384,99
"1198",8273,1,"FFd3",1595742,638.2968,99
"1199",8274,2,"FFd3",393821,157.5284,99
"1200",8275,3,"FFd3",2363,0.9452,99
"1201",8276,4,"FFd3",19773,7.9092,99
"1202",8277,5,"FFd3",510094,204.0376,99
"1203",8278,6,"FFd3",274,0.1096,99
"1204",8279,7,"FFd3",1914,0.7656,99
"1205",8281,1,"FFd4",827110,330.844,99
"1206",8282,2,"FFd4",373813,149.5252,99
"1207",8283,3,"FFd4",2545,1.018,99
"1208",8284,4,"FFd4",56210,22.484,99
"1209",8285,5,"FFd4",450774,180.3096,99
"1210",8286,6,"FFd4",3817,1.5268,99
"1211",8287,7,"FFd4",8340,3.336,99
"1212",8289,1,"FFd5",222165,88.866,99
"1213",8290,2,"FFd5",130246,52.0984,99
"1214",8291,3,"FFd5",4238,1.6952,99
"1215",8292,4,"FFd5",864579,345.8316,99
"1216",8293,5,"FFd5",158153,63.2612,99
"1217",8294,6,"FFd5",3821,1.5284,99
"1218",8295,7,"FFd5",9132,3.6528,99
"1219",8297,1,"FFd6",128542,51.4168,99
"1220",8298,2,"FFd6",13733,5.4932,99
"1221",8299,3,"FFd6",263,0.1052,99
"1222",8300,4,"FFd6",74879,29.9516,99
"1223",8301,5,"FFd6",1582,0.6328,99
"1224",8302,6,"FFd6",158,0.0632,99
"1225",8303,7,"FFd6",2295,0.918,99
"1226",8305,1,"FFd7",298871,119.5484,99
"1227",8306,2,"FFd7",56756,22.7024,99
"1228",8307,3,"FFd7",926,0.3704,99
"1229",8308,4,"FFd7",5295,2.118,99
"1230",8309,5,"FFd7",255391,102.1564,99
"1231",8310,6,"FFd7",173,0.0692,99
"1232",8311,7,"FFd7",1200,0.48,99
"1233",8313,1,"FFd8",108548,43.4192,99
"1234",8314,2,"FFd8",21046,8.4184,99
"1235",8315,3,"FFd8",89194,35.6776,99
"1236",8316,4,"FFd8",1826,0.7304,99
"1237",8317,5,"FFd8",21864,8.7456,99
"1238",8318,6,"FFd8",1342,0.5368,99
"1239",8319,7,"FFd8",395,0.158,99
"1240",8321,1,"FFd9",660358,264.1432,99
"1241",8322,2,"FFd9",201632,80.6528,99
"1242",8323,3,"FFd9",165,0.066,99
"1243",8324,4,"FFd9",14027,5.6108,99
"1244",8325,5,"FFd9",408666,163.4664,99
"1245",8326,6,"FFd9",306,0.1224,99
"1246",8327,7,"FFd9",8071,3.2284,99
"1247",8329,1,"FFf1",583768,233.5072,99
"1248",8330,2,"FFf1",245878,98.3512,99
"1249",8331,3,"FFf1",5051,2.0204,99
"1250",8332,4,"FFf1",22928,9.1712,99
"1251",8333,5,"FFf1",863983,345.5932,99
"1252",8334,6,"FFf1",566,0.2264,99
"1253",8335,7,"FFf1",12830,5.132,99
"1254",8337,1,"FFf2",48440,19.376,99
"1255",8338,2,"FFf2",21927,8.7708,99
"1256",8339,3,"FFf2",111,0.0444,99
"1257",8340,4,"FFf2",377,0.1508,99
"1258",8341,5,"FFf2",30125,12.05,99
"1259",8342,6,"FFf2",8,0.0032,99
"1260",8343,7,"FFf2",482,0.1928,99
"1261",8345,1,"FFg1",160056,64.0224,99
"1262",8346,2,"FFg1",314,0.1256,99
"1263",8348,4,"FFg1",413,0.1652,99
"1264",8349,5,"FFg1",1261,0.5044,99
"1265",8353,1,"FFg2",698918,279.5672,99
"1266",8354,2,"FFg2",180694,72.2776,99
"1267",8355,3,"FFg2",21360,8.544,99
"1268",8356,4,"FFg2",96245,38.498,99
"1269",8357,5,"FFg2",212437,84.9748,99
"1270",8358,6,"FFg2",258,0.1032,99
"1271",8359,7,"FFg2",100061,40.0244,99
"1272",8361,1,"FFg3",78033,31.2132,99
"1273",8362,2,"FFg3",21125,8.45,99
"1274",8363,3,"FFg3",211,0.0844,99
"1275",8364,4,"FFg3",102347,40.9388,99
"1276",8365,5,"FFg3",10279,4.1116,99
"1277",8367,7,"FFg3",17494,6.9976,99
"1278",8369,1,"FFg4",35336,14.1344,99
"1279",8370,2,"FFg4",2802,1.1208,99
"1280",8371,3,"FFg4",91,0.0364,99
"1281",8372,4,"FFg4",6,0.0024,99
"1282",8373,5,"FFg4",4100,1.64,99
"1283",8377,1,"FFg5",444195,177.678,99
"1284",8378,2,"FFg5",153651,61.4604,99
"1285",8379,3,"FFg5",4865,1.946,99
"1286",8380,4,"FFg5",127873,51.1492,99
"1287",8381,5,"FFg5",471628,188.6512,99
"1288",8382,6,"FFg5",1661,0.6644,99
"1289",8383,7,"FFg5",41683,16.6732,99
"1290",8385,1,"FFh1",496999,198.7996,99
"1291",8386,2,"FFh1",159879,63.9516,99
"1292",8387,3,"FFh1",28868,11.5472,99
"1293",8388,4,"FFh1",8962,3.5848,99
"1294",8389,5,"FFh1",369117,147.6468,99
"1295",8390,6,"FFh1",81,0.0324,99
"1296",8391,7,"FFh1",6037,2.4148,99
"1297",8393,1,"FFh10",694871,277.9484,99
"1298",8394,2,"FFh10",6797,2.7188,99
"1299",8395,3,"FFh10",49,0.0196,99
"1300",8396,4,"FFh10",447,0.1788,99
"1301",8397,5,"FFh10",5170,2.068,99
"1302",8399,7,"FFh10",835,0.334,99
"1303",8401,1,"FFh11",13417,5.3668,99
"1304",8402,2,"FFh11",3920,1.568,99
"1305",8403,3,"FFh11",35,0.014,99
"1306",8404,4,"FFh11",11968,4.7872,99
"1307",8406,6,"FFh11",1,4e-04,99
"1308",8407,7,"FFh11",2232,0.8928,99
"1309",8409,1,"FFh2",253202,101.2808,99
"1310",8410,2,"FFh2",8395,3.358,99
"1311",8411,3,"FFh2",148,0.0592,99
"1312",8412,4,"FFh2",101,0.0404,99
"1313",8413,5,"FFh2",4484,1.7936,99
"1314",8414,6,"FFh2",5,0.002,99
"1315",8417,1,"FFh3",159213,63.6852,99
"1316",8418,2,"FFh3",17914,7.1656,99
"1317",8419,3,"FFh3",576,0.2304,99
"1318",8420,4,"FFh3",569,0.2276,99
"1319",8421,5,"FFh3",9102,3.6408,99
"1320",8422,6,"FFh3",52,0.0208,99
"1321",8423,7,"FFh3",391,0.1564,99
"1322",8425,1,"FFh4",509031,203.6124,99
"1323",8426,2,"FFh4",84934,33.9736,99
"1324",8427,3,"FFh4",6486,2.5944,99
"1325",8428,4,"FFh4",7450,2.98,99
"1326",8429,5,"FFh4",173761,69.5044,99
"1327",8430,6,"FFh4",250,0.1,99
"1328",8431,7,"FFh4",10278,4.1112,99
"1329",8433,1,"FFh5",89507,35.8028,99
"1330",8434,2,"FFh5",41681,16.6724,99
"1331",8435,3,"FFh5",2144,0.8576,99
"1332",8436,4,"FFh5",23336,9.3344,99
"1333",8437,5,"FFh5",27664,11.0656,99
"1334",8438,6,"FFh5",3,0.0012,99
"1335",8439,7,"FFh5",25676,10.2704,99
"1336",8441,1,"FFh6",167770,67.108,99
"1337",8442,2,"FFh6",103231,41.2924,99
"1338",8443,3,"FFh6",85209,34.0836,99
"1339",8444,4,"FFh6",16554,6.6216,99
"1340",8445,5,"FFh6",288371,115.3484,99
"1341",8446,6,"FFh6",191,0.0764,99
"1342",8447,7,"FFh6",37403,14.9612,99
"1343",8449,1,"FFh7",370440,148.176,99
"1344",8450,2,"FFh7",49425,19.77,99
"1345",8451,3,"FFh7",1734,0.6936,99
"1346",8452,4,"FFh7",10497,4.1988,99
"1347",8453,5,"FFh7",229143,91.6572,99
"1348",8454,6,"FFh7",8,0.0032,99
"1349",8455,7,"FFh7",5298,2.1192,99
"1350",8457,1,"FFh8",361108,144.4432,99
"1351",8458,2,"FFh8",60045,24.018,99
"1352",8459,3,"FFh8",1083,0.4332,99
"1353",8460,4,"FFh8",1610,0.644,99
"1354",8461,5,"FFh8",37350,14.94,99
"1355",8462,6,"FFh8",16,0.0064,99
"1356",8463,7,"FFh8",5707,2.2828,99
"1357",8465,1,"FFh9",609417,243.7668,99
"1358",8466,2,"FFh9",153367,61.3468,99
"1359",8467,3,"FFh9",6374,2.5496,99
"1360",8468,4,"FFh9",94665,37.866,99
"1361",8469,5,"FFh9",334359,133.7436,99
"1362",8470,6,"FFh9",181,0.0724,99
"1363",8471,7,"FFh9",210735,84.294,99
"1364",8473,1,"FFl1",643631,257.4524,99
"1365",8474,2,"FFl1",24611,9.8444,99
"1366",8475,3,"FFl1",158,0.0632,99
"1367",8476,4,"FFl1",20955,8.382,99
"1368",8477,5,"FFl1",27898,11.1592,99
"1369",8478,6,"FFl1",63,0.0252,99
"1370",8479,7,"FFl1",81,0.0324,99
"1371",8481,1,"FFl2",1654026,661.6104,99
"1372",8482,2,"FFl2",30116,12.0464,99
"1373",8483,3,"FFl2",452,0.1808,99
"1374",8484,4,"FFl2",10177,4.0708,99
"1375",8485,5,"FFl2",38058,15.2232,99
"1376",8486,6,"FFl2",2579,1.0316,99
"1377",8487,7,"FFl2",234,0.0936,99
"1378",8489,1,"FFl3",1555911,622.3644,99
"1379",8490,2,"FFl3",89655,35.862,99
"1380",8491,3,"FFl3",6,0.0024,99
"1381",8492,4,"FFl3",6414,2.5656,99
"1382",8493,5,"FFl3",325362,130.1448,99
"1383",8494,6,"FFl3",348,0.1392,99
"1384",8495,7,"FFl3",1488,0.5952,99
"1385",8497,1,"FFq1",122560,49.024,99
"1386",8505,1,"FFq2",4043526,1617.4104,99
"1387",8506,2,"FFq2",42566,17.0264,99
"1388",8507,3,"FFq2",1239,0.4956,99
"1389",8508,4,"FFq2",2010,0.804,99
"1390",8509,5,"FFq2",26073,10.4292,99
"1391",8510,6,"FFq2",54,0.0216,99
"1392",8513,1,"FFq3",3124510,1249.804,99
"1393",8514,2,"FFq3",31273,12.5092,99
"1394",8515,3,"FFq3",519,0.2076,99
"1395",8516,4,"FFq3",1425,0.57,99
"1396",8517,5,"FFq3",12013,4.8052,99
"1397",8518,6,"FFq3",412,0.1648,99
"1398",8519,7,"FFq3",61,0.0244,99
"1399",8521,1,"FFq4",228302,91.3208,99
"1400",8522,2,"FFq4",5790,2.316,99
"1401",8523,3,"FFq4",747,0.2988,99
"1402",8524,4,"FFq4",1993,0.7972,99
"1403",8525,5,"FFq4",7433,2.9732,99
"1404",8526,6,"FFq4",350,0.14,99
"1405",8527,7,"FFq4",25,0.01,99
"1406",8529,1,"FFq5",970790,388.316,99
"1407",8530,2,"FFq5",916,0.3664,99
"1408",8531,3,"FFq5",78,0.0312,99
"1409",8532,4,"FFq5",210,0.084,99
"1410",8533,5,"FFq5",33,0.0132,99
"1411",8537,1,"FFq6",1671435,668.574,99
"1412",8538,2,"FFq6",17545,7.018,99
"1413",8539,3,"FFq6",231,0.0924,99
"1414",8540,4,"FFq6",2174,0.8696,99
"1415",8541,5,"FFq6",9496,3.7984,99
"1416",8542,6,"FFq6",158,0.0632,99
"1417",8543,7,"FFq6",7155,2.862,99
"1418",8545,1,"FFs1",2001300,800.52,99
"1419",8546,2,"FFs1",158004,63.2016,99
"1420",8547,3,"FFs1",563,0.2252,99
"1421",8548,4,"FFs1",3144,1.2576,99
"1422",8549,5,"FFs1",369174,147.6696,99
"1423",8550,6,"FFs1",6,0.0024,99
"1424",8551,7,"FFs1",3188,1.2752,99
"1425",8553,1,"FFs10",2521635,1008.654,99
"1426",8554,2,"FFs10",46275,18.51,99
"1427",8555,3,"FFs10",4984,1.9936,99
"1428",8556,4,"FFs10",6250,2.5,99
"1429",8557,5,"FFs10",21307,8.5228,99
"1430",8558,6,"FFs10",169,0.0676,99
"1431",8559,7,"FFs10",25936,10.3744,99
"1432",8561,1,"FFs11",1908799,763.5196,99
"1433",8562,2,"FFs11",184806,73.9224,99
"1434",8563,3,"FFs11",17305,6.922,99
"1435",8564,4,"FFs11",26097,10.4388,99
"1436",8565,5,"FFs11",55204,22.0816,99
"1437",8566,6,"FFs11",616,0.2464,99
"1438",8567,7,"FFs11",92760,37.104,99
"1439",8569,1,"FFs12",2624660,1049.864,99
"1440",8570,2,"FFs12",167639,67.0556,99
"1441",8571,3,"FFs12",1035,0.414,99
"1442",8572,4,"FFs12",28501,11.4004,99
"1443",8573,5,"FFs12",115897,46.3588,99
"1444",8574,6,"FFs12",954,0.3816,99
"1445",8575,7,"FFs12",9834,3.9336,99
"1446",8577,1,"FFs13",1302190,520.876,99
"1447",8578,2,"FFs13",11468,4.5872,99
"1448",8579,3,"FFs13",241,0.0964,99
"1449",8580,4,"FFs13",561,0.2244,99
"1450",8581,5,"FFs13",14048,5.6192,99
"1451",8582,6,"FFs13",231,0.0924,99
"1452",8583,7,"FFs13",21,0.0084,99
"1453",8585,1,"FFs14",832763,333.1052,99
"1454",8586,2,"FFs14",18510,7.404,99
"1455",8587,3,"FFs14",825,0.33,99
"1456",8588,4,"FFs14",1099,0.4396,99
"1457",8589,5,"FFs14",24345,9.738,99
"1458",8590,6,"FFs14",603,0.2412,99
"1459",8591,7,"FFs14",19062,7.6248,99
"1460",8593,1,"FFs15",2265892,906.3568,99
"1461",8594,2,"FFs15",90284,36.1136,99
"1462",8595,3,"FFs15",1530,0.612,99
"1463",8596,4,"FFs15",9126,3.6504,99
"1464",8597,5,"FFs15",112719,45.0876,99
"1465",8598,6,"FFs15",576,0.2304,99
"1466",8599,7,"FFs15",3817,1.5268,99
"1467",8601,1,"FFs16",2933280,1173.312,99
"1468",8602,2,"FFs16",37104,14.8416,99
"1469",8603,3,"FFs16",392,0.1568,99
"1470",8604,4,"FFs16",2126,0.8504,99
"1471",8605,5,"FFs16",17068,6.8272,99
"1472",8606,6,"FFs16",38,0.0152,99
"1473",8607,7,"FFs16",48299,19.3196,99
"1474",8609,1,"FFs17",250740,100.296,99
"1475",8610,2,"FFs17",9061,3.6244,99
"1476",8611,3,"FFs17",121,0.0484,99
"1477",8612,4,"FFs17",1059,0.4236,99
"1478",8613,5,"FFs17",5635,2.254,99
"1479",8614,6,"FFs17",199,0.0796,99
"1480",8615,7,"FFs17",1802,0.7208,99
"1481",8617,1,"FFs18",1830791,732.3164,99
"1482",8618,2,"FFs18",142857,57.1428,99
"1483",8619,3,"FFs18",1594,0.6376,99
"1484",8620,4,"FFs18",4013,1.6052,99
"1485",8621,5,"FFs18",201507,80.6028,99
"1486",8622,6,"FFs18",35,0.014,99
"1487",8623,7,"FFs18",16216,6.4864,99
"1488",8625,1,"FFs19",2619324,1047.7296,99
"1489",8626,2,"FFs19",312912,125.1648,99
"1490",8627,3,"FFs19",1755,0.702,99
"1491",8628,4,"FFs19",39402,15.7608,99
"1492",8629,5,"FFs19",187289,74.9156,99
"1493",8630,6,"FFs19",582,0.2328,99
"1494",8631,7,"FFs19",766397,306.5588,99
"1495",8633,1,"FFs2",2344445,937.778,99
"1496",8634,2,"FFs2",248723,99.4892,99
"1497",8635,3,"FFs2",3948,1.5792,99
"1498",8636,4,"FFs2",15928,6.3712,99
"1499",8637,5,"FFs2",740561,296.2244,99
"1500",8638,6,"FFs2",448,0.1792,99
"1501",8639,7,"FFs2",3814,1.5256,99
"1502",8641,1,"FFs20",3919279,1567.7116,99
"1503",8642,2,"FFs20",301847,120.7388,99
"1504",8643,3,"FFs20",17530,7.012,99
"1505",8644,4,"FFs20",60060,24.024,99
"1506",8645,5,"FFs20",985406,394.1624,99
"1507",8646,6,"FFs20",132,0.0528,99
"1508",8647,7,"FFs20",461993,184.7972,99
"1509",8649,1,"FFs21",795097,318.0388,99
"1510",8650,2,"FFs21",362,0.1448,99
"1511",8651,3,"FFs21",72,0.0288,99
"1512",8652,4,"FFs21",62,0.0248,99
"1513",8653,5,"FFs21",256,0.1024,99
"1514",8657,1,"FFs22",963442,385.3768,99
"1515",8658,2,"FFs22",6288,2.5152,99
"1516",8659,3,"FFs22",10,0.004,99
"1517",8660,4,"FFs22",166,0.0664,99
"1518",8661,5,"FFs22",890,0.356,99
"1519",8663,7,"FFs22",18,0.0072,99
"1520",8665,1,"FFs23",2115270,846.108,99
"1521",8666,2,"FFs23",9313,3.7252,99
"1522",8667,3,"FFs23",415,0.166,99
"1523",8668,4,"FFs23",906,0.3624,99
"1524",8669,5,"FFs23",4567,1.8268,99
"1525",8670,6,"FFs23",10,0.004,99
"1526",8673,1,"FFs24",2705643,1082.2572,99
"1527",8674,2,"FFs24",2963,1.1852,99
"1528",8675,3,"FFs24",575,0.23,99
"1529",8676,4,"FFs24",1049,0.4196,99
"1530",8677,5,"FFs24",1571,0.6284,99
"1531",8678,6,"FFs24",14,0.0056,99
"1532",8679,7,"FFs24",156,0.0624,99
"1533",8681,1,"FFs25",827263,330.9052,99
"1534",8682,2,"FFs25",3756,1.5024,99
"1535",8683,3,"FFs25",67,0.0268,99
"1536",8684,4,"FFs25",152,0.0608,99
"1537",8685,5,"FFs25",183,0.0732,99
"1538",8689,1,"FFs26",717710,287.084,99
"1539",8690,2,"FFs26",14579,5.8316,99
"1540",8691,3,"FFs26",132,0.0528,99
"1541",8692,4,"FFs26",429,0.1716,99
"1542",8693,5,"FFs26",27312,10.9248,99
"1543",8695,7,"FFs26",299,0.1196,99
"1544",8697,1,"FFs27",5389939,2155.9756,99
"1545",8698,2,"FFs27",187113,74.8452,99
"1546",8699,3,"FFs27",649,0.2596,99
"1547",8700,4,"FFs27",6090,2.436,99
"1548",8701,5,"FFs27",175205,70.082,99
"1549",8702,6,"FFs27",155,0.062,99
"1550",8703,7,"FFs27",248202,99.2808,99
"1551",8705,1,"FFs28",9241259,3696.5036,99
"1552",8706,2,"FFs28",310505,124.202,99
"1553",8707,3,"FFs28",3840,1.536,99
"1554",8708,4,"FFs28",61730,24.692,99
"1555",8709,5,"FFs28",465344,186.1376,99
"1556",8710,6,"FFs28",395,0.158,99
"1557",8711,7,"FFs28",47377,18.9508,99
"1558",8713,1,"FFs29",329203,131.6812,99
"1559",8714,2,"FFs29",78811,31.5244,99
"1560",8715,3,"FFs29",362,0.1448,99
"1561",8716,4,"FFs29",320937,128.3748,99
"1562",8717,5,"FFs29",91834,36.7336,99
"1563",8718,6,"FFs29",1381,0.5524,99
"1564",8719,7,"FFs29",12963,5.1852,99
"1565",8721,1,"FFs3",1173357,469.3428,99
"1566",8722,2,"FFs3",39751,15.9004,99
"1567",8723,3,"FFs3",192,0.0768,99
"1568",8724,4,"FFs3",1340,0.536,99
"1569",8725,5,"FFs3",29899,11.9596,99
"1570",8727,7,"FFs3",1057,0.4228,99
"1571",8729,1,"FFs30",93701,37.4804,99
"1572",8730,2,"FFs30",26,0.0104,99
"1573",8731,3,"FFs30",13,0.0052,99
"1574",8732,4,"FFs30",73,0.0292,99
"1575",8737,1,"FFs31",126975,50.79,99
"1576",8738,2,"FFs31",99,0.0396,99
"1577",8739,3,"FFs31",1,4e-04,99
"1578",8740,4,"FFs31",12,0.0048,99
"1579",8745,1,"FFs32",885782,354.3128,99
"1580",8746,2,"FFs32",126416,50.5664,99
"1581",8747,3,"FFs32",75,0.03,99
"1582",8748,4,"FFs32",946,0.3784,99
"1583",8749,5,"FFs32",356636,142.6544,99
"1584",8751,7,"FFs32",17,0.0068,99
"1585",8753,1,"FFs4",5581897,2232.7588,99
"1586",8754,2,"FFs4",246376,98.5504,99
"1587",8755,3,"FFs4",7116,2.8464,99
"1588",8756,4,"FFs4",10297,4.1188,99
"1589",8757,5,"FFs4",454608,181.8432,99
"1590",8758,6,"FFs4",292,0.1168,99
"1591",8759,7,"FFs4",8514,3.4056,99
"1592",8761,1,"FFs5",2627644,1051.0576,99
"1593",8762,2,"FFs5",102964,41.1856,99
"1594",8763,3,"FFs5",11900,4.76,99
"1595",8764,4,"FFs5",4923,1.9692,99
"1596",8765,5,"FFs5",85535,34.214,99
"1597",8766,6,"FFs5",253,0.1012,99
"1598",8767,7,"FFs5",6746,2.6984,99
"1599",8769,1,"FFs6",926765,370.706,99
"1600",8770,2,"FFs6",45209,18.0836,99
"1601",8771,3,"FFs6",1515,0.606,99
"1602",8772,4,"FFs6",5793,2.3172,99
"1603",8773,5,"FFs6",74384,29.7536,99
"1604",8774,6,"FFs6",402,0.1608,99
"1605",8775,7,"FFs6",3123,1.2492,99
"1606",8777,1,"FFs7",927707,371.0828,99
"1607",8778,2,"FFs7",13388,5.3552,99
"1608",8779,3,"FFs7",4688,1.8752,99
"1609",8780,4,"FFs7",1247,0.4988,99
"1610",8781,5,"FFs7",36998,14.7992,99
"1611",8782,6,"FFs7",40,0.016,99
"1612",8783,7,"FFs7",1110,0.444,99
"1613",8785,1,"FFs8",789334,315.7336,99
"1614",8786,2,"FFs8",3256,1.3024,99
"1615",8787,3,"FFs8",503,0.2012,99
"1616",8788,4,"FFs8",1092,0.4368,99
"1617",8789,5,"FFs8",4932,1.9728,99
"1618",8790,6,"FFs8",56,0.0224,99
"1619",8791,7,"FFs8",193,0.0772,99
"1620",8793,1,"FFs9",508190,203.276,99
"1621",8794,2,"FFs9",13379,5.3516,99
"1622",8795,3,"FFs9",869,0.3476,99
"1623",8796,4,"FFs9",18499,7.3996,99
"1624",8797,5,"FFs9",374,0.1496,99
"1625",8798,6,"FFs9",23,0.0092,99
"1626",8799,7,"FFs9",7282,2.9128,99
"1627",8801,1,"FFt1",989354,395.7416,99
"1628",8802,2,"FFt1",9070,3.628,99
"1629",8803,3,"FFt1",241,0.0964,99
"1630",8804,4,"FFt1",522,0.2088,99
"1631",8805,5,"FFt1",13131,5.2524,99
"1632",8806,6,"FFt1",4,0.0016,99
"1633",8807,7,"FFt1",64,0.0256,99
"1634",8809,1,"FFt2",453927,181.5708,99
"1635",8810,2,"FFt2",20753,8.3012,99
"1636",8811,3,"FFt2",95,0.038,99
"1637",8812,4,"FFt2",5709,2.2836,99
"1638",8813,5,"FFt2",47285,18.914,99
"1639",8814,6,"FFt2",58,0.0232,99
"1640",8815,7,"FFt2",79,0.0316,99
"1641",8817,1,"FOa1",272520,109.008,99
"1642",8818,2,"FOa1",26158,10.4632,99
"1643",8819,3,"FOa1",1517,0.6068,99
"1644",8820,4,"FOa1",549,0.2196,99
"1645",8821,5,"FOa1",79364,31.7456,99
"1646",8823,7,"FOa1",20,0.008,99
"1647",8825,1,"FOa2",182173,72.8692,99
"1648",8826,2,"FOa2",52322,20.9288,99
"1649",8827,3,"FOa2",192,0.0768,99
"1650",8828,4,"FOa2",3478,1.3912,99
"1651",8829,5,"FOa2",11009,4.4036,99
"1652",8830,6,"FOa2",36,0.0144,99
"1653",8831,7,"FOa2",2045,0.818,99
"1654",8833,1,"FOa3",51390,20.556,99
"1655",8834,2,"FOa3",3208,1.2832,99
"1656",8835,3,"FOa3",308,0.1232,99
"1657",8836,4,"FOa3",4502,1.8008,99
"1658",8837,5,"FOa3",66,0.0264,99
"1659",8838,6,"FOa3",67,0.0268,99
"1660",8839,7,"FOa3",3,0.0012,99
"1661",8841,1,"FOz1",1580530,632.212,99
"1662",8842,2,"FOz1",337820,135.128,99
"1663",8843,3,"FOz1",202,0.0808,99
"1664",8844,4,"FOz1",2879,1.1516,99
"1665",8845,5,"FOz1",30674,12.2696,99
"1666",8846,6,"FOz1",2,8e-04,99
"1667",8847,7,"FOz1",18100,7.24,99
"1668",8849,1,"FOz2",341114,136.4456,99
"1669",8850,2,"FOz2",56584,22.6336,99
"1670",8851,3,"FOz2",18,0.0072,99
"1671",8852,4,"FOz2",279,0.1116,99
"1672",8853,5,"FOz2",55,0.022,99
"1673",8854,6,"FOz2",1,4e-04,99
"1674",8855,7,"FOz2",5413,2.1652,99
"1675",8857,1,"FOz3",2084739,833.8956,99
"1676",8858,2,"FOz3",361180,144.472,99
"1677",8859,3,"FOz3",80,0.032,99
"1678",8860,4,"FOz3",1365,0.546,99
"1679",8861,5,"FOz3",969,0.3876,99
"1680",8862,6,"FOz3",2,8e-04,99
"1681",8863,7,"FOz3",14699,5.8796,99
"1682",8865,1,"FOz4",583289,233.3156,99
"1683",8866,2,"FOz4",125064,50.0256,99
"1684",8867,3,"FOz4",30,0.012,99
"1685",8868,4,"FOz4",47,0.0188,99
"1686",8869,5,"FOz4",979,0.3916,99
"1687",8871,7,"FOz4",8400,3.36,99
"1688",8873,1,"FOz5",2307050,922.82,99
"1689",8874,2,"FOz5",160707,64.2828,99
"1690",8875,3,"FOz5",333,0.1332,99
"1691",8876,4,"FOz5",5638,2.2552,99
"1692",8877,5,"FOz5",33610,13.444,99
"1693",8878,6,"FOz5",334,0.1336,99
"1694",8879,7,"FOz5",3980,1.592,99
"1695",8881,1,"FOz6",377322,150.9288,99
"1696",8882,2,"FOz6",32643,13.0572,99
"1697",8884,4,"FOz6",463,0.1852,99
"1698",8885,5,"FOz6",52629,21.0516,99
"1699",8887,7,"FOz6",29,0.0116,99
"1700",8889,1,"FOz7",1287371,514.9484,99
"1701",8890,2,"FOz7",309275,123.71,99
"1702",8891,3,"FOz7",2029,0.8116,99
"1703",8892,4,"FOz7",52471,20.9884,99
"1704",8893,5,"FOz7",17851,7.1404,99
"1705",8894,6,"FOz7",21381,8.5524,99
"1706",8895,7,"FOz7",10586,4.2344,99
"1707",8897,1,"FOz8",610613,244.2452,99
"1708",8898,2,"FOz8",40308,16.1232,99
"1709",8899,3,"FOz8",469,0.1876,99
"1710",8900,4,"FOz8",5907,2.3628,99
"1711",8901,5,"FOz8",6324,2.5296,99
"1712",8903,7,"FOz8",107,0.0428,99
"1713",8905,1,"FOz9",113179,45.2716,99
"1714",8906,2,"FOz9",163,0.0652,99
"1715",8907,3,"FOz9",5,0.002,99
"1716",8909,5,"FOz9",667,0.2668,99
"1717",8913,1,"FRa1",436017,174.4068,99
"1718",8914,2,"FRa1",203809,81.5236,99
"1719",8915,3,"FRa1",19949,7.9796,99
"1720",8916,4,"FRa1",74297,29.7188,99
"1721",8917,5,"FRa1",506320,202.528,99
"1722",8918,6,"FRa1",630,0.252,99
"1723",8919,7,"FRa1",3168,1.2672,99
"1724",8921,1,"FRa2",91333,36.5332,99
"1725",8922,2,"FRa2",17234,6.8936,99
"1726",8923,3,"FRa2",167,0.0668,99
"1727",8924,4,"FRa2",3852,1.5408,99
"1728",8925,5,"FRa2",44767,17.9068,99
"1729",8927,7,"FRa2",327,0.1308,99
"1730",8929,1,"FRc1",32005,12.802,99
"1731",8930,2,"FRc1",32116,12.8464,99
"1732",8931,3,"FRc1",665,0.266,99
"1733",8932,4,"FRc1",5989,2.3956,99
"1734",8933,5,"FRc1",179756,71.9024,99
"1735",8934,6,"FRc1",535,0.214,99
"1736",8935,7,"FRc1",1588,0.6352,99
"1737",8937,1,"FRc2",71235,28.494,99
"1738",8938,2,"FRc2",55568,22.2272,99
"1739",8939,3,"FRc2",441,0.1764,99
"1740",8940,4,"FRc2",6185,2.474,99
"1741",8941,5,"FRc2",386193,154.4772,99
"1742",8942,6,"FRc2",932,0.3728,99
"1743",8943,7,"FRc2",3836,1.5344,99
"1744",8945,1,"FRd1",493094,197.2376,99
"1745",8946,2,"FRd1",26960,10.784,99
"1746",8947,3,"FRd1",1643,0.6572,99
"1747",8948,4,"FRd1",903,0.3612,99
"1748",8949,5,"FRd1",25548,10.2192,99
"1749",8950,6,"FRd1",46,0.0184,99
"1750",8951,7,"FRd1",542,0.2168,99
"1751",8953,1,"FRd2",1413314,565.3256,99
"1752",8954,2,"FRd2",18304,7.3216,99
"1753",8955,3,"FRd2",690,0.276,99
