"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"214",3402,2,"SVl10",133468,53.3872,0
"215",3403,3,"SVl10",2388,0.9552,0
"216",3404,4,"SVl10",151365,60.546,0
"217",3405,5,"SVl10",113629,45.4516,0
"218",3406,6,"SVl10",1462,0.5848,0
"219",3407,7,"SVl10",6309,2.5236,0
"220",3409,1,"SVl11",37747,15.0988,0
"221",3410,2,"SVl11",145,0.058,0
"222",3412,4,"SVl11",1766,0.7064,0
"223",3413,5,"SVl11",65,0.026,0
"224",3414,6,"SVl11",10,0.004,0
"225",3425,1,"SVl13",21269,8.5076,0
"226",3426,2,"SVl13",5564,2.2256,0
"227",3427,3,"SVl13",4,0.0016,0
"228",3428,4,"SVl13",274,0.1096,0
"229",3429,5,"SVl13",910,0.364,0
"230",3430,6,"SVl13",15,0.006,0
"231",3431,7,"SVl13",9034,3.6136,0
"232",3545,1,"SVl27",622911,249.1644,0
"233",3546,2,"SVl27",71122,28.4488,0
"234",3547,3,"SVl27",974,0.3896,0
"235",3548,4,"SVl27",65777,26.3108,0
"236",3549,5,"SVl27",37856,15.1424,0
"237",3550,6,"SVl27",177,0.0708,0
"238",3551,7,"SVl27",2239,0.8956,0
"239",3553,1,"SVl3",2860364,1144.1456,0
"240",3554,2,"SVl3",629866,251.9464,0
"241",3555,3,"SVl3",37927,15.1708,0
"242",3556,4,"SVl3",770867,308.3468,0
"243",3557,5,"SVl3",192044,76.8176,0
"244",3558,6,"SVl3",1535,0.614,0
"245",3559,7,"SVl3",1537,0.6148,0
"246",3577,1,"SVl6",140719,56.2876,0
"247",3578,2,"SVl6",1860,0.744,0
"248",3579,3,"SVl6",176,0.0704,0
"249",3580,4,"SVl6",360,0.144,0
"250",3581,5,"SVl6",171,0.0684,0
"251",3585,1,"SVl7",53198,21.2792,0
"252",3586,2,"SVl7",6326,2.5304,0
"253",3588,4,"SVl7",10786,4.3144,0
"254",3589,5,"SVl7",907,0.3628,0
"255",3590,6,"SVl7",10,0.004,0
"256",3591,7,"SVl7",448,0.1792,0
"257",3593,1,"SVl8",263897,105.5588,0
"258",3594,2,"SVl8",168224,67.2896,0
"259",3595,3,"SVl8",11876,4.7504,0
"260",3596,4,"SVl8",115393,46.1572,0
"261",3597,5,"SVl8",251907,100.7628,0
"262",3598,6,"SVl8",137,0.0548,0
"263",3599,7,"SVl8",22889,9.1556,0
"264",3601,1,"SVl9",1192359,476.9436,0
"265",3602,2,"SVl9",737943,295.1772,0
"266",3603,3,"SVl9",48631,19.4524,0
"267",3604,4,"SVl9",365591,146.2364,0
"268",3605,5,"SVl9",568407,227.3628,0
"269",3606,6,"SVl9",1212,0.4848,0
"270",3607,7,"SVl9",928025,371.21,0
"271",3609,1,"SVmp1",1292248,516.8992,0
"272",3610,2,"SVmp1",74549,29.8196,0
"273",3611,3,"SVmp1",296,0.1184,0
"274",3612,4,"SVmp1",62492,24.9968,0
"275",3613,5,"SVmp1",220698,88.2792,0
"276",3614,6,"SVmp1",639,0.2556,0
"277",3615,7,"SVmp1",153,0.0612,0
"278",3617,1,"SVmp2",1254174,501.6696,0
"279",3618,2,"SVmp2",1019,0.4076,0
"280",3619,3,"SVmp2",198,0.0792,0
"281",3620,4,"SVmp2",26,0.0104,0
"282",3621,5,"SVmp2",38,0.0152,0
"283",3622,6,"SVmp2",43,0.0172,0
"284",3625,1,"SVmp3",238195,95.278,0
"285",3626,2,"SVmp3",34,0.0136,0
"286",3627,3,"SVmp3",4,0.0016,0
"287",3630,6,"SVmp3",11,0.0044,0
"288",3633,1,"SVmp4",139201,55.6804,0
"289",3634,2,"SVmp4",282,0.1128,0
"290",3635,3,"SVmp4",3,0.0012,0
"291",3638,6,"SVmp4",40,0.016,0
"292",3641,1,"SVmp5",77261,30.9044,0
"293",3642,2,"SVmp5",12,0.0048,0
"294",3673,1,"SVs1",646556,258.6224,0
"295",3674,2,"SVs1",86165,34.466,0
"296",3675,3,"SVs1",693,0.2772,0
"297",3676,4,"SVs1",19750,7.9,0
"298",3677,5,"SVs1",31565,12.626,0
"299",3678,6,"SVs1",35,0.014,0
"300",3681,1,"SVs2",1330459,532.1836,0
"301",3682,2,"SVs2",274898,109.9592,0
"302",3683,3,"SVs2",4068,1.6272,0
"303",3684,4,"SVs2",249227,99.6908,0
"304",3685,5,"SVs2",85274,34.1096,0
"305",3686,6,"SVs2",1441,0.5764,0
"306",3687,7,"SVs2",656,0.2624,0
"307",3697,1,"SVs4",124747,49.8988,0
"308",3698,2,"SVs4",136164,54.4656,0
"309",3699,3,"SVs4",164,0.0656,0
"310",3700,4,"SVs4",112260,44.904,0
"311",3701,5,"SVs4",64799,25.9196,0
"312",3703,7,"SVs4",324,0.1296,0
"313",3713,1,"SVs6",3725241,1490.0964,0
"314",3714,2,"SVs6",744707,297.8828,0
"315",3715,3,"SVs6",2299,0.9196,0
"316",3716,4,"SVs6",326710,130.684,0
"317",3717,5,"SVs6",531585,212.634,0
"318",3718,6,"SVs6",341,0.1364,0
"319",3719,7,"SVs6",4224,1.6896,0
"320",3721,1,"SVs7",225321,90.1284,0
"321",3722,2,"SVs7",63241,25.2964,0
"322",3723,3,"SVs7",23,0.0092,0
"323",3724,4,"SVs7",58164,23.2656,0
"324",3725,5,"SVs7",64408,25.7632,0
"325",3726,6,"SVs7",38,0.0152,0
"326",3727,7,"SVs7",749,0.2996,0
"327",4145,1,"AZa7",12,0.0048,8
"328",4146,2,"AZa7",1,4e-04,8
"329",4265,1,"CB4",4500,1.8,8
"330",4266,2,"CB4",38,0.0152,8
"331",4268,4,"CB4",209,0.0836,8
"332",4273,1,"CB5",54821,21.9284,8
"333",4274,2,"CB5",2620,1.048,8
"334",4276,4,"CB5",1454,0.5816,8
"335",4277,5,"CB5",1667,0.6668,8
"336",4279,7,"CB5",731,0.2924,8
"337",5073,1,"FOa1",141,0.0564,8
"338",5105,1,"FOz2",12786,5.1144,8
"339",5106,2,"FOz2",3904,1.5616,8
"340",5107,3,"FOz2",1,4e-04,8
"341",5108,4,"FOz2",6,0.0024,8
"342",5109,5,"FOz2",22,0.0088,8
"343",5111,7,"FOz2",468,0.1872,8
"344",5113,1,"FOz3",85161,34.0644,8
"345",5114,2,"FOz3",59096,23.6384,8
"346",5116,4,"FOz3",11,0.0044,8
"347",5117,5,"FOz3",90,0.036,8
"348",5119,7,"FOz3",1106,0.4424,8
"349",5121,1,"FOz4",31268,12.5072,8
"350",5122,2,"FOz4",32169,12.8676,8
"351",5123,3,"FOz4",1,4e-04,8
"352",5124,4,"FOz4",2,8e-04,8
"353",5125,5,"FOz4",4,0.0016,8
"354",5127,7,"FOz4",3225,1.29,8
"355",5129,1,"FOz5",32800,13.12,8
"356",5130,2,"FOz5",616,0.2464,8
"357",5132,4,"FOz5",11,0.0044,8
"358",5133,5,"FOz5",10,0.004,8
"359",5135,7,"FOz5",65,0.026,8
"360",5161,1,"FOz9",3855,1.542,8
"361",5162,2,"FOz9",20,0.008,8
"362",5521,1,"Gd10",7,0.0028,8
"363",5545,1,"Gd4",142942,57.1768,8
"364",5546,2,"Gd4",8106,3.2424,8
