"","T_MAPCODE","prpinv_niaps","D3_niaps","B1i_niaps","B2i_niaps","prpinv_cfs_iat","D3_cfr_iat","B1i_cfr_iat","B2i_cfr_iat","prpinv_mapwaps","D1_mapwaps","B1i_mapwaps","B2i_mapwaps","prpinv_umgeni","D1_um","B1i_um","B2i_um","prpinv_max","D3_inv","B1i_inv","B2i_inv"
"252","Gm24",0.00171438367906738,1,1,1,NA,0,0,0,0.0156008914795131,1,1,1,NA,0,0,0,0.0156008914795131,1,1,1
"253","Gm25",0.201011319533036,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.201011319533036,1,1,1
"254","Gm26",0.0396827362757678,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0396827362757678,1,1,1
"255","Gm27",0.0153815519406917,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0153815519406917,1,1,1
"256","Gm28",0.0191664118135349,1,1,1,NA,0,0,0,0.0264843374546725,1,1,1,NA,0,0,0,0.0264843374546725,1,1,1
"257","Gm29",0.00289630895659674,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00289630895659674,1,1,1
"258","Gm3",0.0182845495915448,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0182845495915448,1,1,1
"259","Gm30",0.0411348880042314,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0411348880042314,1,1,1
"260","Gm31",0.0229169713011898,1,1,1,NA,0,0,0,0.0030237152380924,1,1,1,NA,0,0,0,0.0229169713011898,1,1,1
"261","Gm4",0.0122005909312135,1,1,1,NA,0,0,0,0.0000519350059448664,1,1,1,NA,0,0,0,0.0122005909312135,1,1,1
"262","Gm5",0.0298669761335473,1,1,1,NA,0,0,0,0.000221736225510127,1,1,1,NA,0,0,0,0.0298669761335473,1,1,1
"263","Gm6",0.00107469775177885,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00107469775177885,1,1,1
"264","Gm7",0.000173789627655723,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000173789627655723,1,1,1
"265","Gm8",0.00880082436648264,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00880082436648264,1,1,1
"266","Gm9",0.00530374226327266,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00530374226327266,1,1,1
"267","Gs1",0.0373850769517199,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0373850769517199,1,1,1
"268","Gs10",0.0773228906934007,1,1,1,NA,0,0,0,0.031187797143578,1,1,1,0.0000000527967800722144,1,1,1,0.0773228906934007,1,1,1
