"","nlc2022_7class","T_MAPCODE","niaps_arc","n"
"330","2","AT56","0",154237
"331","3","AT56","0",1317
"332","4","AT56","0",162364
"333","5","AT56","0",229970
"334","6","AT56","0",1980
"335","7","AT56","0",21313
"336","NaN","AT56","0",0
"337","1","AT57","0",205245
"338","2","AT57","0",21750
"339","3","AT57","0",6202
"340","4","AT57","0",29561
"341","5","AT57","0",18560
"342","6","AT57","0",663
"343","7","AT57","0",333
"344","NaN","AT57","0",0
"345","1","AT58","0",5546863
"346","2","AT58","0",32183
"347","3","AT58","0",6413
"348","4","AT58","0",14061
"349","5","AT58","0",24525
"350","6","AT58","0",204
"351","7","AT58","0",59
"352","NaN","AT58","0",0
"353","1","AZa1","0",44244
"354","2","AZa1","0",664
"355","3","AZa1","0",2
"356","4","AZa1","0",83
"357","5","AZa1","0",173
"358","6","AZa1","0",0
"359","7","AZa1","0",103
"360","NaN","AZa1","0",0
"361","1","AZa2","0",187949
"362","2","AZa2","0",91959
"363","3","AZa2","0",2849
"364","4","AZa2","0",25136
"365","5","AZa2","0",429277
"366","6","AZa2","0",121
"367","7","AZa2","0",5043
"368","NaN","AZa2","0",0
"369","1","AZa3","0",970928
"370","2","AZa3","0",102509
"371","3","AZa3","0",23183
"372","4","AZa3","0",24486
"373","5","AZa3","0",641980
"374","6","AZa3","0",2271
"375","7","AZa3","0",34
"376","NaN","AZa3","0",0
"377","1","AZa4","0",2770157
"378","2","AZa4","0",221131
"379","3","AZa4","0",17245
"380","4","AZa4","0",47806
"381","5","AZa4","0",1015773
"382","6","AZa4","0",15255
"383","7","AZa4","0",15892
"384","NaN","AZa4","0",0
"385","1","AZa5","0",5178949
"386","2","AZa5","0",575245
"387","3","AZa5","0",746094
"388","4","AZa5","0",88395
"389","5","AZa5","0",1320458
"390","6","AZa5","0",21260
"391","7","AZa5","0",57065
"392","NaN","AZa5","0",0
"393","1","AZa6","0",670651
"394","2","AZa6","0",119845
"395","3","AZa6","0",17090
"396","4","AZa6","0",118495
"397","5","AZa6","0",626219
"398","6","AZa6","0",1471
"399","7","AZa6","0",28144
"400","NaN","AZa6","0",0
"401","1","AZa7","0",2048426
"402","2","AZa7","0",183293
