"","T_MAPCODE","niaps_ch1","niaps_ch2","niaps_ch3","niaps_ch4","niaps_ch6","niaps_ch5","niaps_ch7","niaps_ch8","niaps_ch9","niaps_ch10","sumrem_sa","niaps_ext30","niaps_ext50","niaps_ext70","niaps_ext90","D3_niaps","EOO","AOO","B1i_niaps","B2i_niaps"
"120","FFl3",3.6032,8.6184,4.4592,6.0984,3.8408,5.3192,2.2788,0.9364,0.0256,0.9104,622.3644,0.0579891780442455,0.0521996438099609,0.0311868737993369,0.00667004732275818,"LC",2439.184831,26,"LC","LC"
"121","FFq2",0.1892,1.1016,0.064,0.2512,0.0252,0,0,0.026,0,0.4032,1617.4104,0.00127388818570723,0.0011569110721682,0.00043625291391721,0.000265362458408824,"LC",3419.42712,39,"LC","LC"
"122","FFq3",0.0124,0,0.1552,0.0052,0,0.0032,0.0104,0.0696,0,0.1824,1249.804,0.000350775001520238,0.000340853445820305,0.000216673974479198,0.000209952920617953,"LC",7718.464975,63,"LC","LC"
"123","FFq4",0.0036,0.0008,0.0656,0,0,0.008,0.0232,0.0588,0,0.1116,91.3208,0.00297413075662938,0.00293470928857391,0.00220760221110634,0.00211999894876085,"LC",1138.182575,12,"LC","LC"
"124","FFq5",0.6408,0.3648,0.396,0,0,0,0.034,0,0,0,388.316,0.00369698905015503,0.00204678663768683,0.0000875575562171015,0.0000875575562171015,"LC",4626.252806,40,"LC","LC"
"125","FFq6",16.932,11.5692,2.256,2.4384,0.0996,1.1436,3.1816,1.1388,0.9928,23.014,668.574,0.0938804081522763,0.0685548645325723,0.047876226117079,0.0423695806298181,"LC",3901.340334,42,"LC","LC"
"126","FFs1",12.2516,16.2996,10.7116,2.7912,4.0592,1.9988,1.4804,2.1256,0.1944,0.8588,800.52,0.0659211512516864,0.0506165992105132,0.0168745315544896,0.00582021685904162,"LC",3631.899032,31,"LC","LC"
"127","FFs10",14.8364,9.8476,6.5368,10.094,1.664,3.5136,5.9652,7.6044,18.3972,11.6744,1008.654,0.0893602761700246,0.0746511687853317,0.0584073428549334,0.0432667693778045,"LC",2437.235578,27,"LC","LC"
"128","FFs11",7.5372,5.6904,3.8752,0.51,1.2924,1.2228,6.3132,2.9892,0.9344,6.21,763.5196,0.0479028960094803,0.038031243729696,0.0255029471411081,0.0215407698767654,"LC",1667.08404,24,"LC","LC"
"129","FFs12",33.998,34.064,10.15,22.7388,8.0252,7.3692,16.9992,13.9472,5.4756,26.2572,1049.864,0.170521515167679,0.13813827314776,0.0960242469500811,0.0597022090480291,"LC",3385.397108,37,"LC","LC"
"130","FFs13",5.984,10.2968,0.0372,10.558,0.2268,0.0864,0.3288,0.6816,0.006,0.974,520.876,0.056020242821708,0.0445319039464287,0.0246922492109446,0.00382125496279345,"LC",1515.09612,19,"LC","LC"
"131","FFs14",1.4336,7.7448,4.702,24.326,1.8528,0.64,3.082,1.2544,0.2348,3.048,333.1052,0.145054475282884,0.140750729799475,0.103384756527367,0.0228732544553492,"LC",1135.420239,15,"LC","LC"
"132","FFs15",1.6744,1.7996,0.9528,2.9132,1.2068,0.5036,1.5368,1.4136,0.0632,8.2564,906.3568,0.0224198682020149,0.0205724721213544,0.0175356989653523,0.0124343966967534,"LC",7923.451361,52,"LC","LC"
"133","FFs16",23.7924,20.6476,1.9528,7.0584,7.8836,11.3192,11.17,12.6668,4.8904,60.85,1173.312,0.138267741231659,0.117989758904707,0.0987277041400753,0.0763455926471391,"LC",5411.657559,53,"LC","LC"
"134","FFs17",0.8556,0.6752,0.062,1.344,0.6236,0.0348,0.418,2.5096,1.4056,1.3416,100.296,0.0924264178033022,0.083895668820292,0.0765454255404004,0.0565805216558985,"LC",159.5605787,7,"LC","LC"
"135","FFs18",22.2372,24.1756,4.436,9.9224,7.4992,6.7996,4.6452,4.642,3.6436,10.2844,732.3164,0.134211387318378,0.103845824018143,0.0647758264050894,0.0317010516219492,"LC",1785.451017,26,"LC","LC"
"136","FFs19",36.8796,59.942,9.1672,35.2628,10.4068,8.4316,37.1712,34.87,12.5116,50.4768,1047.7296,0.281675348295973,0.246475808261979,0.180514896209862,0.128878290734556,"LC",4173.596256,43,"LC","LC"
"137","FFs2",13.7048,13.9852,4.2412,3.3876,2.9188,2.67,5.0568,0.27,0.0332,0.9028,937.778,0.0503001776539863,0.0356860578942991,0.0162503279027659,0.00667833964968255,"LC",5082.237246,53,"LC","LC"
"138","FFs20",48.0804,57.022,11.4756,35.4016,13.5936,16.1164,32.8508,19.7992,7.3492,48.3864,1567.7116,0.185030971257724,0.154361809914528,0.110669079695526,0.0691361855075895,"LC",3079.756733,46,"LC","LC"
"139","FFs21",0.3648,0,0,0,0,0,0,0,0,0,318.0388,0.00114702985924988,0,0,0,"LC",1079.901515,18,"LC","LC"
"140","FFs22",0.3948,0,0.0196,0.188,0,0,0,0,0,0,385.3768,0.00156314547217165,0.000538693559134852,0.000487834244303238,0,"LC",1177.078043,16,"LC","LC"
"141","FFs23",0.946,0.3168,0,0.0132,0.0008,0,0.2744,0.1476,0.0068,0,846.108,0.00201581831161034,0.000897757733055355,0.000523337446283453,0.000506791095226614,"LC",4474.320015,43,"LC","LC"
"142","FFs24",2.0848,1.2644,0.7288,0.1492,0.1508,0.474,1.0004,1.2368,0,0.906,1082.2572,0.00738752303980976,0.00546117872904888,0.00361947233984676,0.0029043003825708,"LC",4384.958593,49,"LC","LC"
"143","FFs25",0.0132,0,0,0,0,0,0,0,0.006,0.0124,330.9052,0.0000954956283551905,0.0000556050494220097,0.0000556050494220097,0.0000556050494220097,"LC",709.679405,14,"LC","LC"
"144","FFs26",0.0376,0.0532,0.112,0.0024,0.0188,0.056,0.6536,0.1988,0,2.338,287.084,0.012088447980382,0.0119574758607237,0.0113820345264801,0.0111131236850539,"LC",592.6839483,12,"LC","LC"
"145","FFs27",4.558,4.5424,0.2368,2.5052,0.7412,0.8808,1.7972,2.1452,0.3148,13.4968,2155.9756,0.0144799412386671,0.0123658171270584,0.0101490944517183,0.00823478707272939,"LC",8603.635103,69,"LC","LC"
