"","nlc2022_7class","T_MAPCODE","sum","n"
"301","5","AT52","0",22785
"302","6","AT52","0",0
"303","7","AT52","0",0
"304","NaN","AT52","0",0
"305","1","AT53","0",24724
"306","2","AT53","0",4092
"307","3","AT53","0",20
"308","4","AT53","0",14413
"309","5","AT53","0",1442
"310","6","AT53","0",0
"311","7","AT53","0",2672
"312","NaN","AT53","0",0
"313","1","AT54","0",349201
"314","2","AT54","0",2326
"315","3","AT54","0",834
"316","4","AT54","0",90
"317","5","AT54","0",3403
"318","6","AT54","0",0
"319","7","AT54","0",10
"320","NaN","AT54","0",0
"321","1","AT55","0",1850172
"322","2","AT55","0",21210
"323","3","AT55","0",1284
"324","4","AT55","0",5070
"325","5","AT55","0",18213
"326","6","AT55","0",244
"327","7","AT55","0",60
"328","NaN","AT55","0",0
"329","1","AT56","0",983830
"330","2","AT56","0",149649
"331","3","AT56","0",1283
"332","4","AT56","0",161738
"333","5","AT56","0",229692
"334","6","AT56","0",1980
"335","7","AT56","0",18418
"336","NaN","AT56","0",0
"337","1","AT57","0",166459
"338","2","AT57","0",18389
"339","3","AT57","0",6202
"340","4","AT57","0",29161
"341","5","AT57","0",18512
"342","6","AT57","0",663
"343","7","AT57","0",333
"344","NaN","AT57","0",0
"345","1","AT58","0",5546145
"346","2","AT58","0",32034
"347","3","AT58","0",6404
"348","4","AT58","0",14060
"349","5","AT58","0",24509
"350","6","AT58","0",204
"351","7","AT58","0",59
"352","NaN","AT58","0",0
"353","1","AZa1","0",43642
"354","2","AZa1","0",664
"355","3","AZa1","0",2
"356","4","AZa1","0",83
"357","5","AZa1","0",173
"358","6","AZa1","0",0
"359","7","AZa1","0",103
"360","NaN","AZa1","0",0
"361","1","AZa2","0",177241
"362","2","AZa2","0",88307
"363","3","AZa2","0",2774
"364","4","AZa2","0",24893
"365","5","AZa2","0",428695
"366","6","AZa2","0",121
"367","7","AZa2","0",4721
"368","NaN","AZa2","0",0
"369","1","AZa3","0",912684
"370","2","AZa3","0",93142
"371","3","AZa3","0",18297
"372","4","AZa3","0",24052
"373","5","AZa3","0",640452
"374","6","AZa3","0",2271
"375","7","AZa3","0",34
"376","NaN","AZa3","0",0
"377","1","AZa4","0",2633987
"378","2","AZa4","0",206636
"379","3","AZa4","0",15935
"380","4","AZa4","0",47018
"381","5","AZa4","0",1013164
"382","6","AZa4","0",15245
"383","7","AZa4","0",12741
"384","NaN","AZa4","0",0
"385","1","AZa5","0",4950908
"386","2","AZa5","0",548639
"387","3","AZa5","0",742663
"388","4","AZa5","0",87366
"389","5","AZa5","0",1319239
"390","6","AZa5","0",21084
"391","7","AZa5","0",44543
"392","NaN","AZa5","0",0
"393","1","AZa6","0",630022
"394","2","AZa6","0",111654
"395","3","AZa6","0",16962
"396","4","AZa6","0",117964
"397","5","AZa6","0",624875
"398","6","AZa6","0",1465
"399","7","AZa6","0",15979
"400","NaN","AZa6","0",0
"401","1","AZa7","0",2041401
"402","2","AZa7","0",181642
"403","3","AZa7","0",58339
"404","4","AZa7","0",39003
"405","5","AZa7","0",706309
"406","6","AZa7","0",4598
"407","7","AZa7","0",53191
"408","NaN","AZa7","0",1244
"409","1","AZd1","0",793
"410","2","AZd1","0",1448
"411","3","AZd1","0",166
"412","4","AZd1","0",0
"413","5","AZd1","0",0
"414","6","AZd1","0",13694
"415","7","AZd1","0",0
"416","NaN","AZd1","0",0
"417","1","AZd2","0",23792
"418","2","AZd2","0",475
"419","3","AZd2","0",5
"420","4","AZd2","0",69
"421","5","AZd2","0",0
"422","6","AZd2","0",8699
"423","7","AZd2","0",0
"424","NaN","AZd2","0",0
"425","1","AZd3","0",536755
"426","2","AZd3","0",6006
"427","3","AZd3","0",324
"428","4","AZd3","0",6112
"429","5","AZd3","0",0
"430","6","AZd3","0",126
"431","7","AZd3","0",1
"432","NaN","AZd3","0",0
"433","1","AZd4","0",65523
"434","2","AZd4","0",2027
"435","3","AZd4","0",29
"436","4","AZd4","0",1721
"437","5","AZd4","0",0
"438","6","AZd4","0",361
"439","7","AZd4","0",372
"440","NaN","AZd4","0",54
"441","1","AZi1","0",2706189
"442","2","AZi1","0",133265
"443","3","AZi1","0",4616
"444","4","AZi1","0",13772
"445","5","AZi1","0",223477
"446","6","AZi1","0",5133
"447","7","AZi1","0",852
"448","NaN","AZi1","0",0
"449","1","AZi3","0",4564231
"450","2","AZi3","0",31288
"451","3","AZi3","0",120
"452","4","AZi3","0",19674
"453","5","AZi3","0",287
"454","6","AZi3","0",265
"455","7","AZi3","0",248
"456","NaN","AZi3","0",2209
"457","1","AZi5","0",11659620
"458","2","AZi5","0",310901
"459","3","AZi5","0",61511
"460","4","AZi5","0",19704
"461","5","AZi5","0",420086
"462","6","AZi5","0",19728
"463","7","AZi5","0",1526
"464","NaN","AZi5","0",0
"465","1","AZi6","0",10642130
"466","2","AZi6","0",514915
"467","3","AZi6","0",106842
"468","4","AZi6","0",133781
"469","5","AZi6","0",1067251
"470","6","AZi6","0",3437
"471","7","AZi6","0",9432
"472","NaN","AZi6","0",0
"473","1","AZi7","0",4883603
"474","2","AZi7","0",214480
"475","3","AZi7","0",15207
"476","4","AZi7","0",11782
"477","5","AZi7","0",107065
"478","6","AZi7","0",487
"479","7","AZi7","0",543
"480","NaN","AZi7","0",0
"481","1","AZi8","0",307545
"482","2","AZi8","0",92613
"483","3","AZi8","0",3418
"484","4","AZi8","0",25971
"485","5","AZi8","0",523306
"486","6","AZi8","0",255
"487","7","AZi8","0",2691
"488","NaN","AZi8","0",0
"489","1","AZs3","0",24105
"490","2","AZs3","0",1425
"491","3","AZs3","0",10
"492","4","AZs3","0",821
"493","5","AZs3","0",1
"494","6","AZs3","0",0
"495","7","AZs3","0",198
"496","NaN","AZs3","0",0
"497","1","CB1","0",1858162
"498","2","CB1","0",503852
"499","3","CB1","0",8819
"500","4","CB1","0",1005152
"501","5","CB1","0",493159
"502","6","CB1","0",28902
"503","7","CB1","0",1551791
"504","NaN","CB1","0",110
"505","1","CB2","0",949467
"506","2","CB2","0",213183
"507","3","CB2","0",309
"508","4","CB2","0",269073
"509","5","CB2","0",27273
"510","6","CB2","0",2595
"511","7","CB2","0",1079693
"512","NaN","CB2","0",0
"513","1","CB3","0",826325
"514","2","CB3","0",850383
"515","3","CB3","0",21287
"516","4","CB3","0",3407646
"517","5","CB3","0",3648073
"518","6","CB3","0",13070
"519","7","CB3","0",130489
"520","NaN","CB3","0",0
"521","1","CB4","0",1415116
"522","2","CB4","0",424223
"523","3","CB4","0",2627
"524","4","CB4","0",295559
"525","5","CB4","0",600917
"526","6","CB4","0",4062
"527","7","CB4","0",90303
"528","NaN","CB4","0",0
"529","1","CB5","0",1565657
"530","2","CB5","0",521028
"531","3","CB5","0",877
"532","4","CB5","0",869224
"533","5","CB5","0",335150
"534","6","CB5","0",1102
"535","7","CB5","0",10683
"536","NaN","CB5","0",0
"537","1","CB6","0",299856
"538","2","CB6","0",252747
"539","3","CB6","0",788
"540","4","CB6","0",842296
"541","5","CB6","0",245805
"542","6","CB6","0",5235
"543","7","CB6","0",8933
"544","NaN","CB6","0",0
"545","1","Dg1","0",832223
"546","2","Dg1","0",171
"547","3","Dg1","0",33
"548","4","Dg1","0",0
"549","5","Dg1","0",0
"550","6","Dg1","0",7385
"551","7","Dg1","0",0
"552","NaN","Dg1","0",0
"553","1","Dg10","0",5209144
"554","2","Dg10","0",7355
"555","3","Dg10","0",171
"556","4","Dg10","0",5150
"557","5","Dg10","0",3146
"558","6","Dg10","0",10121
"559","7","Dg10","0",1
"560","NaN","Dg10","0",0
"561","1","Dg2","0",903471
"562","2","Dg2","0",44
"563","3","Dg2","0",48
"564","4","Dg2","0",0
"565","5","Dg2","0",0
"566","6","Dg2","0",0
"567","7","Dg2","0",0
"568","NaN","Dg2","0",0
"569","1","Dg3","0",391160
"570","2","Dg3","0",136
"571","3","Dg3","0",1
"572","4","Dg3","0",17
"573","5","Dg3","0",0
"574","6","Dg3","0",8845
"575","7","Dg3","0",0
"576","NaN","Dg3","0",0
"577","1","Dg4","0",267982
"578","2","Dg4","0",141
"579","3","Dg4","0",183
"580","4","Dg4","0",0
"581","5","Dg4","0",0
"582","6","Dg4","0",1193
"583","7","Dg4","0",0
"584","NaN","Dg4","0",0
"585","1","Dg5","0",1479774
"586","2","Dg5","0",157
"587","3","Dg5","0",237
"588","4","Dg5","0",485
"589","5","Dg5","0",0
"590","6","Dg5","0",0
"591","7","Dg5","0",0
"592","NaN","Dg5","0",0
"593","1","Dg6","0",20267
"594","2","Dg6","0",17
"595","3","Dg6","0",0
"596","4","Dg6","0",275
"597","5","Dg6","0",0
"598","6","Dg6","0",0
"599","7","Dg6","0",0
"600","NaN","Dg6","0",0
"601","1","Dg7","0",609297
"602","2","Dg7","0",718
"603","3","Dg7","0",34
"604","4","Dg7","0",3258
"605","5","Dg7","0",1056
"606","6","Dg7","0",2137
"607","7","Dg7","0",0
"608","NaN","Dg7","0",0
"609","1","Dg8","0",857309
"610","2","Dg8","0",70
"611","3","Dg8","0",16
"612","4","Dg8","0",482
"613","5","Dg8","0",0
"614","6","Dg8","0",119
"615","7","Dg8","0",0
"616","NaN","Dg8","0",0
"617","1","Dg9","0",2994591
"618","2","Dg9","0",18307
"619","3","Dg9","0",38
"620","4","Dg9","0",18773
"621","5","Dg9","0",10237
"622","6","Dg9","0",1597
"623","7","Dg9","0",149
"624","NaN","Dg9","0",0
"625","1","Dn1","0",3304
"626","2","Dn1","0",1273
"627","3","Dn1","0",39
"628","4","Dn1","0",1357
"629","5","Dn1","0",0
"630","6","Dn1","0",36632
"631","7","Dn1","0",0
"632","NaN","Dn1","0",0
"633","1","Dn2","0",2525
"634","2","Dn2","0",230
"635","3","Dn2","0",0
"636","4","Dn2","0",0
"637","5","Dn2","0",0
"638","6","Dn2","0",1102
"639","7","Dn2","0",0
"640","NaN","Dn2","0",0
"641","1","Dn3","0",304287
"642","2","Dn3","0",8660
"643","3","Dn3","0",25
"644","4","Dn3","0",6206
"645","5","Dn3","0",0
"646","6","Dn3","0",26479
"647","7","Dn3","0",0
"648","NaN","Dn3","0",0
"649","1","Dn4","0",486536
"650","2","Dn4","0",5621
"651","3","Dn4","0",227
"652","4","Dn4","0",3793
"653","5","Dn4","0",2585
"654","6","Dn4","0",42814
"655","7","Dn4","0",0
"656","NaN","Dn4","0",0
"657","1","Dn5","0",960817
"658","2","Dn5","0",6643
"659","3","Dn5","0",279
"660","4","Dn5","0",4194
"661","5","Dn5","0",0
"662","6","Dn5","0",73544
"663","7","Dn5","0",0
"664","NaN","Dn5","0",0
"665","1","FFa1","0",119666
"666","2","FFa1","0",53027
"667","3","FFa1","0",19260
"668","4","FFa1","0",2360
"669","5","FFa1","0",238309
"670","6","FFa1","0",23
"671","7","FFa1","0",155
"672","NaN","FFa1","0",0
"673","1","FFa2","0",329259
"674","2","FFa2","0",139396
"675","3","FFa2","0",11351
"676","4","FFa2","0",47532
"677","5","FFa2","0",585048
"678","6","FFa2","0",639
"679","7","FFa2","0",7258
"680","NaN","FFa2","0",0
"681","1","FFa3","0",279799
"682","2","FFa3","0",167474
"683","3","FFa3","0",49193
"684","4","FFa3","0",91851
"685","5","FFa3","0",488646
"686","6","FFa3","0",316
"687","7","FFa3","0",19760
"688","NaN","FFa3","0",0
"689","1","FFa4","0",8555
"690","2","FFa4","0",12269
"691","3","FFa4","0",553
"692","4","FFa4","0",48687
"693","5","FFa4","0",12196
"694","6","FFa4","0",2
"695","7","FFa4","0",131
"696","NaN","FFa4","0",0
"697","1","FFb1","0",637358
"698","2","FFb1","0",18970
"699","3","FFb1","0",2675
"700","4","FFb1","0",1207
"701","5","FFb1","0",26637
"702","6","FFb1","0",20
"703","7","FFb1","0",903
"704","NaN","FFb1","0",0
"705","1","FFb2","0",278062
"706","2","FFb2","0",7019
"707","3","FFb2","0",130
"708","4","FFb2","0",114
"709","5","FFb2","0",2028
"710","6","FFb2","0",0
"711","7","FFb2","0",2988
"712","NaN","FFb2","0",0
"713","1","FFb3","0",243149
"714","2","FFb3","0",127
"715","3","FFb3","0",31
"716","4","FFb3","0",69
"717","5","FFb3","0",145
"718","6","FFb3","0",0
"719","7","FFb3","0",3
"720","NaN","FFb3","0",0
"721","1","FFb4","0",110479
"722","2","FFb4","0",3993
"723","3","FFb4","0",24
"724","4","FFb4","0",225
"725","5","FFb4","0",11010
"726","6","FFb4","0",0
"727","7","FFb4","0",2885
"728","NaN","FFb4","0",0
"729","1","FFb5","0",235241
"730","2","FFb5","0",12107
"731","3","FFb5","0",289
"732","4","FFb5","0",601
"733","5","FFb5","0",17382
"734","6","FFb5","0",9
"735","7","FFb5","0",306
"736","NaN","FFb5","0",0
"737","1","FFb6","0",53652
"738","2","FFb6","0",18923
"739","3","FFb6","0",1472
"740","4","FFb6","0",6255
"741","5","FFb6","0",61962
"742","6","FFb6","0",28
"743","7","FFb6","0",24701
"744","NaN","FFb6","0",0
"745","1","FFc1","0",704703
"746","2","FFc1","0",191301
"747","3","FFc1","0",3503
"748","4","FFc1","0",20847
"749","5","FFc1","0",864564
"750","6","FFc1","0",466
"751","7","FFc1","0",11265
"752","NaN","FFc1","0",0
"753","1","FFd1","0",2760103
"754","2","FFd1","0",304025
"755","3","FFd1","0",1
"756","4","FFd1","0",1086
"757","5","FFd1","0",176196
"758","6","FFd1","0",4418
"759","7","FFd1","0",3
"760","NaN","FFd1","0",0
"761","1","FFd10","0",55242
"762","2","FFd10","0",18164
"763","3","FFd10","0",313
"764","4","FFd10","0",23785
"765","5","FFd10","0",13306
"766","6","FFd10","0",61
"767","7","FFd10","0",238536
"768","NaN","FFd10","0",0
"769","1","FFd11","0",53065
"770","2","FFd11","0",3328
"771","3","FFd11","0",134
"772","4","FFd11","0",3593
"773","5","FFd11","0",31664
"774","6","FFd11","0",601
"775","7","FFd11","0",143
"776","NaN","FFd11","0",0
"777","1","FFd2","0",1706587
"778","2","FFd2","0",835043
"779","3","FFd2","0",3514
"780","4","FFd2","0",23291
"781","5","FFd2","0",2347780
"782","6","FFd2","0",1022
"783","7","FFd2","0",3717
"784","NaN","FFd2","0",0
"785","1","FFd3","0",1439907
"786","2","FFd3","0",377851
"787","3","FFd3","0",2256
"788","4","FFd3","0",19492
"789","5","FFd3","0",509970
"790","6","FFd3","0",263
"791","7","FFd3","0",613
"792","NaN","FFd3","0",0
"793","1","FFd4","0",488167
"794","2","FFd4","0",271137
"795","3","FFd4","0",2276
"796","4","FFd4","0",51300
"797","5","FFd4","0",448661
"798","6","FFd4","0",3469
"799","7","FFd4","0",2532
"800","NaN","FFd4","0",0
"801","1","FFd5","0",130311
"802","2","FFd5","0",100715
"803","3","FFd5","0",3995
"804","4","FFd5","0",860017
"805","5","FFd5","0",157472
"806","6","FFd5","0",3565
"807","7","FFd5","0",5432
"808","NaN","FFd5","0",0
"809","1","FFd6","0",97835
"810","2","FFd6","0",10496
"811","3","FFd6","0",245
"812","4","FFd6","0",74425
"813","5","FFd6","0",1571
