"","LC","T_MAPCODE","n","km2","um"
"283",3,"AT33",2433,0.9732,99
"284",4,"AT33",1968,0.7872,99
"285",5,"AT33",7810,3.124,99
"286",6,"AT33",15,0.006,99
"287",7,"AT33",14,0.0056,99
"288",1,"AT34",404185,161.674,99
"289",2,"AT34",4170,1.668,99
"290",3,"AT34",387,0.1548,99
"291",4,"AT34",1024,0.4096,99
"292",5,"AT34",8866,3.5464,99
"293",6,"AT34",140,0.056,99
"294",7,"AT34",45,0.018,99
"295",1,"AT35",45936,18.3744,99
"296",2,"AT35",10946,4.3784,99
"297",4,"AT35",477,0.1908,99
"298",5,"AT35",18010,7.204,99
"299",1,"AT36",74411,29.7644,99
"300",2,"AT36",9601,3.8404,99
"301",3,"AT36",8,0.0032,99
"302",4,"AT36",13634,5.4536,99
"303",5,"AT36",5326,2.1304,99
"304",6,"AT36",254,0.1016,99
"305",7,"AT36",25295,10.118,99
"306",1,"AT37",265318,106.1272,99
"307",2,"AT37",42016,16.8064,99
"308",3,"AT37",152,0.0608,99
"309",4,"AT37",3843,1.5372,99
"310",5,"AT37",129979,51.9916,99
"311",6,"AT37",177,0.0708,99
"312",7,"AT37",131,0.0524,99
"313",1,"AT38",2124413,849.7652,99
"314",2,"AT38",255149,102.0596,99
"315",3,"AT38",1945,0.778,99
"316",4,"AT38",61783,24.7132,99
"317",5,"AT38",733145,293.258,99
"318",6,"AT38",2075,0.83,99
"319",7,"AT38",48625,19.45,99
"320",1,"AT39",542460,216.984,99
"321",2,"AT39",23599,9.4396,99
"322",3,"AT39",84,0.0336,99
"323",4,"AT39",24854,9.9416,99
"324",5,"AT39",20369,8.1476,99
"325",6,"AT39",3283,1.3132,99
"326",1,"AT40",1157900,463.16,99
"327",2,"AT40",119159,47.6636,99
"328",3,"AT40",325,0.13,99
"329",4,"AT40",101716,40.6864,99
"330",5,"AT40",109559,43.8236,99
"331",6,"AT40",542,0.2168,99
"332",7,"AT40",1592,0.6368,99
"333",1,"AT41",519664,207.8656,99
"334",2,"AT41",43522,17.4088,99
"335",3,"AT41",256,0.1024,99
"336",4,"AT41",36266,14.5064,99
"337",5,"AT41",158023,63.2092,99
"338",6,"AT41",367,0.1468,99
"339",7,"AT41",10706,4.2824,99
"340",1,"AT42",129326,51.7304,99
"341",2,"AT42",10314,4.1256,99
"342",3,"AT42",66,0.0264,99
"343",4,"AT42",1450,0.58,99
"344",5,"AT42",8449,3.3796,99
"345",6,"AT42",14,0.0056,99
"346",7,"AT42",22,0.0088,99
"347",1,"AT43",664650,265.86,99
"348",2,"AT43",21888,8.7552,99
"349",3,"AT43",2099,0.8396,99
"350",4,"AT43",5739,2.2956,99
"351",5,"AT43",21014,8.4056,99
"352",6,"AT43",23,0.0092,99
"353",7,"AT43",95,0.038,99
"354",1,"AT44",158138,63.2552,99
"355",2,"AT44",49931,19.9724,99
"356",3,"AT44",253,0.1012,99
"357",4,"AT44",182838,73.1352,99
"358",5,"AT44",16394,6.5576,99
"359",6,"AT44",934,0.3736,99
"360",7,"AT44",156,0.0624,99
"361",1,"AT45",1076236,430.4944,99
"362",2,"AT45",198419,79.3676,99
"363",3,"AT45",943,0.3772,99
"364",4,"AT45",16898,6.7592,99
"365",5,"AT45",448370,179.348,99
"366",6,"AT45",154,0.0616,99
"367",7,"AT45",1543,0.6172,99
"368",1,"AT46",1380172,552.0688,99
"369",2,"AT46",16165,6.466,99
"370",3,"AT46",3395,1.358,99
"371",4,"AT46",10174,4.0696,99
"372",5,"AT46",19245,7.698,99
"373",6,"AT46",433,0.1732,99
"374",7,"AT46",60,0.024,99
"375",1,"AT47",2215384,886.1536,99
"376",2,"AT47",22602,9.0408,99
"377",3,"AT47",2473,0.9892,99
"378",4,"AT47",14620,5.848,99
"379",5,"AT47",21175,8.47,99
"380",6,"AT47",185,0.074,99
"381",1,"AT48",29228,11.6912,99
"382",2,"AT48",1900,0.76,99
"383",3,"AT48",9,0.0036,99
"384",4,"AT48",14663,5.8652,99
"385",5,"AT48",5142,2.0568,99
"386",1,"AT49",13810037,5524.0148,99
"387",2,"AT49",105632,42.2528,99
"388",3,"AT49",55082,22.0328,99
"389",4,"AT49",57710,23.084,99
"390",5,"AT49",87869,35.1476,99
"391",6,"AT49",1075,0.43,99
"392",7,"AT49",387,0.1548,99
"393",1,"AT50",1288606,515.4424,99
"394",2,"AT50",46915,18.766,99
"395",3,"AT50",1593,0.6372,99
"396",4,"AT50",44720,17.888,99
"397",5,"AT50",61227,24.4908,99
"398",6,"AT50",241,0.0964,99
"399",7,"AT50",554,0.2216,99
"400",1,"AT51",4234271,1693.7084,99
"401",2,"AT51",103599,41.4396,99
"402",3,"AT51",7321,2.9284,99
"403",4,"AT51",180985,72.394,99
"404",5,"AT51",371314,148.5256,99
"405",6,"AT51",5161,2.0644,99
"406",7,"AT51",5856,2.3424,99
"407",1,"AT52",75604,30.2416,99
"408",2,"AT52",10540,4.216,99
"409",4,"AT52",63,0.0252,99
"410",5,"AT52",22785,9.114,99
"411",1,"AT53",41374,16.5496,99
"412",2,"AT53",5058,2.0232,99
"413",3,"AT53",22,0.0088,99
"414",4,"AT53",14612,5.8448,99
"415",5,"AT53",1443,0.5772,99
"416",7,"AT53",5248,2.0992,99
"417",1,"AT54",462248,184.8992,99
"418",2,"AT54",2549,1.0196,99
"419",3,"AT54",834,0.3336,99
"420",4,"AT54",95,0.038,99
"421",5,"AT54",3565,1.426,99
"422",7,"AT54",10,0.004,99
"423",1,"AT55",1853994,741.5976,99
"424",2,"AT55",22076,8.8304,99
"425",3,"AT55",1288,0.5152,99
"426",4,"AT55",5074,2.0296,99
"427",5,"AT55",18232,7.2928,99
"428",6,"AT55",244,0.0976,99
"429",7,"AT55",60,0.024,99
"430",1,"AT56",1164873,465.9492,99
"431",2,"AT56",163997,65.5988,99
"432",3,"AT56",1350,0.54,99
"433",4,"AT56",162804,65.1216,99
"434",5,"AT56",230186,92.0744,99
"435",6,"AT56",1994,0.7976,99
"436",7,"AT56",28840,11.536,99
"437",1,"AT57",263774,105.5096,99
"438",2,"AT57",23201,9.2804,99
"439",3,"AT57",6203,2.4812,99
"440",4,"AT57",29665,11.866,99
"441",5,"AT57",18698,7.4792,99
"442",6,"AT57",663,0.2652,99
"443",7,"AT57",458,0.1832,99
"444",1,"AT58",5553238,2221.2952,99
"445",2,"AT58",32345,12.938,99
"446",3,"AT58",6424,2.5696,99
"447",4,"AT58",14067,5.6268,99
"448",5,"AT58",24525,9.81,99
"449",6,"AT58",204,0.0816,99
"450",7,"AT58",59,0.0236,99
"451",1,"AZa1",45467,18.1868,99
"452",2,"AZa1",926,0.3704,99
"453",3,"AZa1",2,8e-04,99
"454",4,"AZa1",83,0.0332,99
"455",5,"AZa1",173,0.0692,99
"456",7,"AZa1",110,0.044,99
"457",1,"AZa2",290431,116.1724,99
"458",2,"AZa2",110066,44.0264,99
