"","LC","T_MAPCODE","niaps_arc","n","km2"
"295",3,"AZa2",0,2849,1.1396
"296",4,"AZa2",0,25136,10.0544
"297",5,"AZa2",0,429277,171.7108
"298",6,"AZa2",0,121,0.0484
"299",7,"AZa2",0,5043,2.0172
"300",1,"AZa3",0,970928,388.3712
"301",2,"AZa3",0,102509,41.0036
"302",3,"AZa3",0,23183,9.2732
"303",4,"AZa3",0,24486,9.7944
"304",5,"AZa3",0,641980,256.792
"305",6,"AZa3",0,2271,0.9084
"306",7,"AZa3",0,34,0.0136
"307",1,"AZa4",0,2770157,1108.0628
"308",2,"AZa4",0,221131,88.4524
"309",3,"AZa4",0,17245,6.898
"310",4,"AZa4",0,47806,19.1224
"311",5,"AZa4",0,1015773,406.3092
"312",6,"AZa4",0,15255,6.102
"313",7,"AZa4",0,15892,6.3568
"314",1,"AZa5",0,5178949,2071.5796
"315",2,"AZa5",0,575245,230.098
"316",3,"AZa5",0,746094,298.4376
"317",4,"AZa5",0,88395,35.358
"318",5,"AZa5",0,1320458,528.1832
"319",6,"AZa5",0,21260,8.504
"320",7,"AZa5",0,57065,22.826
"321",1,"AZa6",0,670651,268.2604
"322",2,"AZa6",0,119845,47.938
"323",3,"AZa6",0,17090,6.836
"324",4,"AZa6",0,118495,47.398
"325",5,"AZa6",0,626219,250.4876
"326",6,"AZa6",0,1471,0.5884
"327",7,"AZa6",0,28144,11.2576
"328",1,"AZa7",0,2048426,819.3704
"329",2,"AZa7",0,183293,73.3172
"330",3,"AZa7",0,58353,23.3412
"331",4,"AZa7",0,39037,15.6148
"332",5,"AZa7",0,706408,282.5632
"333",6,"AZa7",0,4598,1.8392
"334",7,"AZa7",0,53337,21.3348
"335",NA,"AZa7",0,1244,0.4976
"336",1,"AZd1",0,793,0.3172
"337",2,"AZd1",0,1448,0.5792
"338",3,"AZd1",0,166,0.0664
"339",6,"AZd1",0,13694,5.4776
"340",1,"AZd2",0,23792,9.5168
"341",2,"AZd2",0,475,0.19
"342",3,"AZd2",0,5,0.002
"343",4,"AZd2",0,69,0.0276
"344",6,"AZd2",0,8699,3.4796
"345",1,"AZd3",0,537696,215.0784
"346",2,"AZd3",0,6027,2.4108
"347",3,"AZd3",0,324,0.1296
"348",4,"AZd3",0,6153,2.4612
"349",6,"AZd3",0,126,0.0504
