"","T_MAPCODE","lc_1","lc_2","lc_3","lc_4","lc_5","lc_6","lc_7","lc_8","ext_tot","ext_rem","prc_inv","EOO","AOO","B1i_inv","B2i_inv","D1_inv","D3_inv"
"377","SVcb13",1913.4024,68.3244,5.6688,40.8532,25.6732,1.7828,3.5648,7.0332,2066.3028,1920.4356,0,6610.415079,64,"LC","LC","LC","LC"
"378","SVcb14",441.114,157.338,25.4764,14.3328,119.956,0.408,1.1536,0.1132,759.892,441.2272,0,1986.312374,25,"LC","LC","LC","LC"
"379","SVcb15",2855.8392,1192.388,22.906,417.7104,2691.2592,8.686,8.9332,0.4932,7198.2152,2856.3324,0,13513.5201,121,"LC","LC","LC","LC"
"380","SVcb16",9879.8608,943.4928,32.248,565.4136,641.8896,7.9448,6.35,0.9464,12078.146,9880.8072,0,34133.49073,267,"LC","LC","LC","LC"
"381","SVcb17",8201.7648,377.3332,9.8144,22.32,257.7488,10.1352,9.2336,12.8812,8901.2312,8214.646,0,20749.4781,183,"LC","LC","LC","LC"
"382","SVcb18",5101.8224,568.8996,5.7232,198.0788,616.146,1.6248,4.0652,0,6496.36,5101.8224,0,10475.31971,98,"LC","LC","LC","LC"
"383","SVcb19",10665.7168,387.902,5.0944,109.6904,806.062,38.2188,8.9748,0,12021.6592,10665.7168,0,26724.5722,182,"LC","LC","LC","LC"
"384","SVcb2",1075.802,11.1124,0.1348,12.4868,6.1796,1.3244,0.398,0.0544,1107.4924,1075.8564,0,6998.740086,41,"LC","LC","LC","LC"
"385","SVcb20",6199.8004,1573.792,12.1668,582.3732,1624.2072,33.0856,65.566,19.8984,10110.8896,6219.6988,0,15278.59242,146,"LC","LC","LC","LC"
"386","SVcb21",2879.1692,359.2716,11.9276,306.1692,159.0664,0.3616,265.2808,166.4928,4147.7392,3045.662,5,8552.26669,79,"LC","LC","LC","LC"
"387","SVcb22",0.4716,0.0704,0,0,0,0,0,0.06,0.602,0.5316,11,1.114277259,0,"LC","LC","LC","LC"
"388","SVcb23",2507.468,567.6872,7.3236,571.2748,767.3516,7.6684,4.918,11.6368,4445.3284,2519.1048,0,6855.316109,70,"LC","LC","LC","LC"
